day,hour,% difference
9,23,0.16760483
9,23,0.15829834
10,0,0.17644067
10,0,0.17188926
10,1,0.1493729
10,1,0.14100097
10,2,0.21918739
10,2,0.06586155
10,3,0.18726876
10,3,0.15736426
10,4,0.19134011
10,4,0.08750644
10,5,0.2034385
10,5,0.08520724
10,6,0.10914782
10,6,0.05029247
10,7,0.05096312
10,7,0.01421675
10,8,0.06451462
10,8,0.01921152
10,9,0.00357568
10,9,0.03416108
10,10,0.04311794
10,10,0.0018576
10,11,0.05211409
10,11,0.06557355
10,12,0.03866138
10,12,0.0398426
10,13,0.00328978
10,13,0.00485193
10,14,0.05221982
10,14,0.01100147
10,15,0.08565062
10,15,0.00756008
10,16,0.06185192
10,16,0.00878799
10,17,0.12429939
10,17,0.02062975
10,18,0.14179376
10,18,0.05072374
10,19,0.15375957
10,19,0.08477126
10,20,0.0970166
10,20,0.08350834
10,21,0.07157975
10,21,0.11329926
10,22,0.06007505
10,22,0.06786103
10,23,0.07204366
10,23,0.10931704
11,0,0.03690594
11,0,0.05416902
11,1,0.02109039
11,1,0.03480276
11,2,0.06626013
11,2,0.07630496
11,3,0.04021209
11,3,0.08556254
11,4,0.06125715
11,4,0.02233754
11,5,0.04982103
11,5,0.08776115
11,6,0.08798511
11,6,0.07184358
11,7,0.0749225
11,7,0.0859432
11,8,0.0783894
11,8,0.10833979
11,9,0.08962429
11,9,0.11390418
11,10,0.06859336
11,10,0.01285444
11,11,0.03571329
11,11,0.07224234
11,12,0.02016108
11,12,0.06279676
11,13,0.0013146
11,13,0.04312301
11,14,0.01873375
11,14,0.01383326
11,15,0.02715931
11,15,0.00051036
11,16,0.02894595
11,16,0.0472166
11,17,0.03265348
11,17,0.03110888
11,18,0.04314834
11,18,0.01742767
11,19,0.07623323
11,19,0.01972616
11,20,0.10737373
11,20,0.0534364
11,21,0.13140711
11,21,0.11882997
11,22,0.1266494
11,22,0.08608867
11,23,0.17835694
11,23,0.12178752
12,0,0.20545707
12,0,0.15340548
12,1,0.22117042
12,1,0.13683193
12,2,0.26467969
12,2,0.14530033
12,3,0.25592878
12,3,0.22500183
12,4,0.28490696
12,4,0.28284863
12,5,0.33164823
12,5,0.30548625
12,6,0.34391791
12,6,0.11615432
12,7,0.39178507
