day,hour,% difference
21,3,0.23199106
21,3,0.0284764
21,4,0.18115618
21,4,0.0018176
21,5,0.13931197
21,5,4.23E-05
21,6,0.04408445
21,6,0.03075665
21,7,0.00191806
21,7,0.07430938
21,8,0.044721
21,8,0.06499536
21,9,0.01909904
21,9,0.06472483
21,10,0.00822903
21,10,0.05144862
21,11,0.03765599
21,11,0.04933419
21,12,0.04751116
21,12,0.03599853
21,13,0.06208953
21,13,0.00150268
21,14,0.08234361
21,14,0.01420234
21,15,0.07746712
21,15,0.00962045
21,16,0.05806395
21,16,0.01906002
21,17,0.04570207
21,17,0.03052175
21,18,0.06304239
21,18,0.03389267
21,19,0.06498856
21,19,0.04501856
21,20,0.09814099
21,20,0.01421987
21,21,0.11642497
21,21,0.02947323
21,22,0.14499844
21,22,0.0404868
21,23,0.16966218
21,23,0.00030516
22,0,0.14030989
22,0,0.05496251
22,1,0.1164962
22,1,0.05905967
22,2,0.05803391
22,2,0.03050904
22,3,0.05097851
22,3,0.06956454
22,4,0.01822414
22,4,0.06636993
22,5,0.00741191
22,5,0.08150809
22,6,0.1061594
22,6,0.0233529
22,7,0.11344205
22,7,0.020558
22,8,0.13944428
22,8,0.00295646
22,9,0.10719661
22,9,0.01062788
22,10,0.1261286
22,10,0.00348054
22,11,0.08837001
22,11,0.00519158
22,12,0.06792077
22,12,0.02470567
22,13,0.07279383
22,13,0.04623586
22,14,0.04770595
22,14,0.03677522
22,15,0.07475583
22,15,0.08443135
22,16,0.09019243
22,16,0.10738131
22,17,0.07162894
22,17,0.10272591
22,18,0.04273625
22,18,0.06418544
22,19,0.01901766
22,19,0.04799773
22,20,0.00393277
22,20,0.02341314
22,21,0.02221188
22,21,0.00093139
22,22,0.04831596
22,22,0.04353956
22,23,0.04406724
22,23,0.00957615
23,0,0.02469725
23,0,0.01838214
23,1,0.04873031
23,1,0.03915456
23,2,0.05488148
23,2,0.06831603
23,3,0.07560464
23,3,0.06056031
23,4,0.0585167
23,4,0.04934846
23,5,0.06054632
23,5,0.0690632
23,6,0.04468382
23,6,0.00548216
23,7,0.05950524
23,7,0.02054646
23,8,0.05308036
23,8,0.04046906
23,9,0.00580182
23,9,0.0414333
23,10,0.01576389
23,10,0.06642754
23,11,0.00223261
23,11,0.05810469
23,12,0.00954094
23,12,0.04019499
23,13,0.04369717
23,13,0.00448087
23,14,0.05412605
23,14,0.00349676
23,15,0.06499249
23,15,0.01686403
23,16,0.06935059
23,16,0.04519926
23,17,0.06212793
23,17,0.05329409
23,18,0.05440493
23,18,0.03952024
23,19,0.06931032
23,19,0.04304175
23,20,0.02129812
23,20,0.08428135
23,21,0.02270448
23,21,0.06641691
23,22,0.01066039
23,22,0.00715944
23,23,0.02239392
23,23,0.00123784
24,0,0.00804114
24,0,0.01641489
24,1,0.01519438
24,1,0.02443385
24,2,0.0231362
24,2,0.01187402
24,3,0.03884991
24,3,0.00644925
24,4,0.03071195
24,4,0.0165587
24,5,0.0086985
24,5,0.02014156
24,6,0.01722208
