Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
01/01/2019,3,1,N,HB_SOUTH,HU,15.72
01/01/2019,3,2,N,HB_SOUTH,HU,16.23
01/01/2019,3,3,N,HB_SOUTH,HU,15.60
01/01/2019,3,4,N,HB_SOUTH,HU,15.85
01/01/2019,3,1,N,HB_WEST,HU,14.96
01/01/2019,3,2,N,HB_WEST,HU,14.71
01/01/2019,3,3,N,HB_WEST,HU,15.60
01/01/2019,3,4,N,HB_WEST,HU,15.58
01/01/2019,3,1,N,LZ_AEN,LZ,15.72
01/01/2019,3,1,N,LZ_AEN,LZEW,15.72
01/01/2019,3,2,N,LZ_AEN,LZ,16.26
01/01/2019,3,2,N,LZ_AEN,LZEW,16.26
01/01/2019,3,3,N,LZ_AEN,LZ,15.60
01/01/2019,3,3,N,LZ_AEN,LZEW,15.60
01/01/2019,3,4,N,LZ_AEN,LZ,15.69
01/01/2019,3,4,N,LZ_AEN,LZEW,15.69
01/01/2019,3,1,N,LZ_CPS,LZ,15.81
01/01/2019,3,1,N,LZ_CPS,LZEW,15.81
01/01/2019,3,2,N,LZ_CPS,LZ,16.41
01/01/2019,3,2,N,LZ_CPS,LZEW,16.41
01/01/2019,3,3,N,LZ_CPS,LZ,15.60
01/01/2019,3,3,N,LZ_CPS,LZEW,15.60
01/01/2019,3,4,N,LZ_CPS,LZ,15.84
01/01/2019,3,4,N,LZ_CPS,LZEW,15.84
01/01/2019,3,1,N,LZ_HOUSTON,LZ,15.50
01/01/2019,3,1,N,LZ_HOUSTON,LZEW,15.50
01/01/2019,3,2,N,LZ_HOUSTON,LZ,15.79
01/01/2019,3,2,N,LZ_HOUSTON,LZEW,15.79
01/01/2019,3,3,N,LZ_HOUSTON,LZ,15.60
01/01/2019,3,3,N,LZ_HOUSTON,LZEW,15.60
01/01/2019,3,4,N,LZ_HOUSTON,LZ,15.22
01/01/2019,3,4,N,LZ_HOUSTON,LZEW,15.22
01/01/2019,3,1,N,LZ_LCRA,LZ,15.98
01/01/2019,3,1,N,LZ_LCRA,LZEW,15.98
01/01/2019,3,2,N,LZ_LCRA,LZ,16.71
01/01/2019,3,2,N,LZ_LCRA,LZEW,16.71
01/01/2019,3,3,N,LZ_LCRA,LZ,15.60
01/01/2019,3,3,N,LZ_LCRA,LZEW,15.60
01/01/2019,3,4,N,LZ_LCRA,LZ,15.76
01/01/2019,3,4,N,LZ_LCRA,LZEW,15.76
01/01/2019,3,1,N,LZ_NORTH,LZ,15.25
01/01/2019,3,1,N,LZ_NORTH,LZEW,15.25
01/01/2019,3,2,N,LZ_NORTH,LZ,15.27
01/01/2019,3,2,N,LZ_NORTH,LZEW,15.27
01/01/2019,3,3,N,LZ_NORTH,LZ,15.60
01/01/2019,3,3,N,LZ_NORTH,LZEW,15.60
01/01/2019,3,4,N,LZ_NORTH,LZ,15.53
01/01/2019,3,4,N,LZ_NORTH,LZEW,15.53
01/01/2019,3,1,N,LZ_RAYBN,LZ,15.23
01/01/2019,3,1,N,LZ_RAYBN,LZEW,15.23
01/01/2019,3,2,N,LZ_RAYBN,LZ,15.24
01/01/2019,3,2,N,LZ_RAYBN,LZEW,15.24
01/01/2019,3,3,N,LZ_RAYBN,LZ,15.60
01/01/2019,3,3,N,LZ_RAYBN,LZEW,15.60
01/01/2019,3,4,N,LZ_RAYBN,LZ,15.52
01/01/2019,3,4,N,LZ_RAYBN,LZEW,15.52
01/01/2019,3,1,N,LZ_SOUTH,LZ,15.77
01/01/2019,3,1,N,LZ_SOUTH,LZEW,15.77
01/01/2019,3,2,N,LZ_SOUTH,LZ,16.31
01/01/2019,3,2,N,LZ_SOUTH,LZEW,16.31
01/01/2019,3,3,N,LZ_SOUTH,LZ,15.60
01/01/2019,3,3,N,LZ_SOUTH,LZEW,15.60
01/01/2019,3,4,N,LZ_SOUTH,LZ,16.44
01/01/2019,3,4,N,LZ_SOUTH,LZEW,16.44
01/01/2019,3,1,N,LZ_WEST,LZ,14.91
01/01/2019,3,1,N,LZ_WEST,LZEW,14.91
01/01/2019,3,2,N,LZ_WEST,LZ,14.61
01/01/2019,3,2,N,LZ_WEST,LZEW,14.61
01/01/2019,3,3,N,LZ_WEST,LZ,15.60
01/01/2019,3,3,N,LZ_WEST,LZEW,15.60
01/01/2019,3,4,N,LZ_WEST,LZ,15.59
01/01/2019,3,4,N,LZ_WEST,LZEW,15.59
01/01/2019,4,1,N,HB_BUSAVG,SH,16.01
01/01/2019,4,2,N,HB_BUSAVG,SH,16.01
01/01/2019,4,3,N,HB_BUSAVG,SH,16.30
01/01/2019,4,4,N,HB_BUSAVG,SH,16.10
01/01/2019,4,1,N,HB_HOUSTON,HU,15.83
01/01/2019,4,2,N,HB_HOUSTON,HU,16.01
01/01/2019,4,3,N,HB_HOUSTON,HU,16.30
01/01/2019,4,4,N,HB_HOUSTON,HU,16.10
01/01/2019,4,1,N,HB_HUBAVG,AH,16
01/01/2019,4,2,N,HB_HUBAVG,AH,16.01
01/01/2019,4,3,N,HB_HUBAVG,AH,16.30
01/01/2019,4,4,N,HB_HUBAVG,AH,16.10
01/01/2019,4,1,N,HB_NORTH,HU,15.99
01/01/2019,4,2,N,HB_NORTH,HU,16.01
01/01/2019,4,3,N,HB_NORTH,HU,16.30
01/01/2019,4,4,N,HB_NORTH,HU,16.10
01/01/2019,4,1,N,HB_SOUTH,HU,16.17
01/01/2019,4,2,N,HB_SOUTH,HU,16.01
01/01/2019,4,3,N,HB_SOUTH,HU,16.30
01/01/2019,4,4,N,HB_SOUTH,HU,16.10
01/01/2019,4,1,N,HB_WEST,HU,16.02
01/01/2019,4,2,N,HB_WEST,HU,16.01
01/01/2019,4,3,N,HB_WEST,HU,16.30
01/01/2019,4,4,N,HB_WEST,HU,16.10
01/01/2019,4,1,N,LZ_AEN,LZ,16.08
01/01/2019,4,1,N,LZ_AEN,LZEW,16.09
01/01/2019,4,2,N,LZ_AEN,LZ,16.01
01/01/2019,4,2,N,LZ_AEN,LZEW,16.01
01/01/2019,4,3,N,LZ_AEN,LZ,16.30
01/01/2019,4,3,N,LZ_AEN,LZEW,16.30
01/01/2019,4,4,N,LZ_AEN,LZ,16.10
01/01/2019,4,4,N,LZ_AEN,LZEW,16.10
01/01/2019,4,1,N,LZ_CPS,LZ,16.16
01/01/2019,4,1,N,LZ_CPS,LZEW,16.16
01/01/2019,4,2,N,LZ_CPS,LZ,16.01
01/01/2019,4,2,N,LZ_CPS,LZEW,16.01
01/01/2019,4,3,N,LZ_CPS,LZ,16.30
01/01/2019,4,3,N,LZ_CPS,LZEW,16.30
01/01/2019,4,4,N,LZ_CPS,LZ,16.10
01/01/2019,4,4,N,LZ_CPS,LZEW,16.10
01/01/2019,4,1,N,LZ_HOUSTON,LZ,15.82
01/01/2019,4,1,N,LZ_HOUSTON,LZEW,15.82
01/01/2019,4,2,N,LZ_HOUSTON,LZ,16.01
01/01/2019,4,2,N,LZ_HOUSTON,LZEW,16.01
01/01/2019,4,3,N,LZ_HOUSTON,LZ,16.30
01/01/2019,4,3,N,LZ_HOUSTON,LZEW,16.30
01/01/2019,4,4,N,LZ_HOUSTON,LZ,16.10
01/01/2019,4,4,N,LZ_HOUSTON,LZEW,16.10
01/01/2019,4,1,N,LZ_LCRA,LZ,16.12
01/01/2019,4,1,N,LZ_LCRA,LZEW,16.12
01/01/2019,4,2,N,LZ_LCRA,LZ,16.01
01/01/2019,4,2,N,LZ_LCRA,LZEW,16.01
01/01/2019,4,3,N,LZ_LCRA,LZ,16.30
01/01/2019,4,3,N,LZ_LCRA,LZEW,16.30
01/01/2019,4,4,N,LZ_LCRA,LZ,16.10
01/01/2019,4,4,N,LZ_LCRA,LZEW,16.10
01/01/2019,4,1,N,LZ_NORTH,LZ,15.99
01/01/2019,4,1,N,LZ_NORTH,LZEW,15.99
01/01/2019,4,2,N,LZ_NORTH,LZ,16.01
01/01/2019,4,2,N,LZ_NORTH,LZEW,16.01
01/01/2019,4,3,N,LZ_NORTH,LZ,16.30
01/01/2019,4,3,N,LZ_NORTH,LZEW,16.30
01/01/2019,4,4,N,LZ_NORTH,LZ,16.10
01/01/2019,4,4,N,LZ_NORTH,LZEW,16.10
01/01/2019,4,1,N,LZ_RAYBN,LZ,15.99
01/01/2019,4,1,N,LZ_RAYBN,LZEW,15.99
01/01/2019,4,2,N,LZ_RAYBN,LZ,16.01
01/01/2019,4,2,N,LZ_RAYBN,LZEW,16.01
01/01/2019,4,3,N,LZ_RAYBN,LZ,16.30
01/01/2019,4,3,N,LZ_RAYBN,LZEW,16.30
01/01/2019,4,4,N,LZ_RAYBN,LZ,16.10
01/01/2019,4,4,N,LZ_RAYBN,LZEW,16.10
01/01/2019,4,1,N,LZ_SOUTH,LZ,16.50
01/01/2019,4,1,N,LZ_SOUTH,LZEW,16.51
01/01/2019,4,2,N,LZ_SOUTH,LZ,16.01
01/01/2019,4,2,N,LZ_SOUTH,LZEW,16.01
01/01/2019,4,3,N,LZ_SOUTH,LZ,16.30
01/01/2019,4,3,N,LZ_SOUTH,LZEW,16.30
01/01/2019,4,4,N,LZ_SOUTH,LZ,16.10
01/01/2019,4,4,N,LZ_SOUTH,LZEW,16.10
01/01/2019,4,1,N,LZ_WEST,LZ,16.03
01/01/2019,4,1,N,LZ_WEST,LZEW,16.03
01/01/2019,4,2,N,LZ_WEST,LZ,16.01
01/01/2019,4,2,N,LZ_WEST,LZEW,16.01
01/01/2019,4,3,N,LZ_WEST,LZ,16.30
01/01/2019,4,3,N,LZ_WEST,LZEW,16.30
01/01/2019,4,4,N,LZ_WEST,LZ,16.10
01/01/2019,4,4,N,LZ_WEST,LZEW,16.10
01/01/2019,5,1,N,HB_BUSAVG,SH,15.96
01/01/2019,5,2,N,HB_BUSAVG,SH,15.82
01/01/2019,5,3,N,HB_BUSAVG,SH,16.09
01/01/2019,5,4,N,HB_BUSAVG,SH,16.26
01/01/2019,5,1,N,HB_HOUSTON,HU,15.96
01/01/2019,5,2,N,HB_HOUSTON,HU,15.82
01/01/2019,5,3,N,HB_HOUSTON,HU,16.09
01/01/2019,5,4,N,HB_HOUSTON,HU,16.26
01/01/2019,5,1,N,HB_HUBAVG,AH,15.96
01/01/2019,5,2,N,HB_HUBAVG,AH,15.82
01/01/2019,5,3,N,HB_HUBAVG,AH,16.09
01/01/2019,5,4,N,HB_HUBAVG,AH,16.26
01/01/2019,5,1,N,HB_NORTH,HU,15.96
01/01/2019,5,2,N,HB_NORTH,HU,15.82
01/01/2019,5,3,N,HB_NORTH,HU,16.09
01/01/2019,5,4,N,HB_NORTH,HU,16.26
01/01/2019,5,1,N,HB_SOUTH,HU,15.96
01/01/2019,5,2,N,HB_SOUTH,HU,15.82
01/01/2019,5,3,N,HB_SOUTH,HU,16.09
01/01/2019,5,4,N,HB_SOUTH,HU,16.26
01/01/2019,5,1,N,HB_WEST,HU,15.96
01/01/2019,5,2,N,HB_WEST,HU,15.82
01/01/2019,5,3,N,HB_WEST,HU,16.09
01/01/2019,5,4,N,HB_WEST,HU,16.26
01/01/2019,5,1,N,LZ_AEN,LZ,15.96
01/01/2019,5,1,N,LZ_AEN,LZEW,15.96
01/01/2019,5,2,N,LZ_AEN,LZ,15.82
01/01/2019,5,2,N,LZ_AEN,LZEW,15.82
01/01/2019,5,3,N,LZ_AEN,LZ,16.09
01/01/2019,5,3,N,LZ_AEN,LZEW,16.09
01/01/2019,5,4,N,LZ_AEN,LZ,16.26
01/01/2019,5,4,N,LZ_AEN,LZEW,16.26
01/01/2019,5,1,N,LZ_CPS,LZ,15.96
01/01/2019,5,1,N,LZ_CPS,LZEW,15.96
01/01/2019,5,2,N,LZ_CPS,LZ,15.82
01/01/2019,5,2,N,LZ_CPS,LZEW,15.82
01/01/2019,5,3,N,LZ_CPS,LZ,16.09
01/01/2019,5,3,N,LZ_CPS,LZEW,16.09
01/01/2019,5,4,N,LZ_CPS,LZ,16.26
01/01/2019,5,4,N,LZ_CPS,LZEW,16.26
01/01/2019,5,1,N,LZ_HOUSTON,LZ,15.96
01/01/2019,5,1,N,LZ_HOUSTON,LZEW,15.96
01/01/2019,5,2,N,LZ_HOUSTON,LZ,15.82
01/01/2019,5,2,N,LZ_HOUSTON,LZEW,15.82
01/01/2019,5,3,N,LZ_HOUSTON,LZ,16.09
01/01/2019,5,3,N,LZ_HOUSTON,LZEW,16.09
01/01/2019,5,4,N,LZ_HOUSTON,LZ,16.26
