CPT,ENDING,ZONEID,"	MW"
2/24/07,22:00:00,"	246","	1977"
2/24/07,22:15:00,"	240","	4915"
2/24/07,22:15:00,"	242","	11997"
2/24/07,22:15:00,"	244","	8663"
2/24/07,22:15:00,"	246","	2214"
2/24/07,22:30:00,"	240","	4919"
2/24/07,22:30:00,"	242","	11770"
2/24/07,22:30:00,"	244","	8652"
2/24/07,22:30:00,"	246","	2239"
2/24/07,22:45:00,"	240","	4923"
2/24/07,22:45:00,"	242","	11716"
2/24/07,22:45:00,"	244","	8637"
2/24/07,22:45:00,"	246","	2202"
2/24/07,23:00:00,"	240","	4927"
2/24/07,23:00:00,"	242","	11514"
2/24/07,23:00:00,"	244","	8600"
2/24/07,23:00:00,"	246","	2188"
2/24/07,23:15:00,"	240","	4802"
2/24/07,23:15:00,"	242","	10999"
2/24/07,23:15:00,"	244","	7756"
2/24/07,23:15:00,"	246","	1895"
2/24/07,23:30:00,"	240","	4802"
2/24/07,23:30:00,"	242","	10854"
2/24/07,23:30:00,"	244","	7537"
2/24/07,23:30:00,"	246","	1887"
2/24/07,23:45:00,"	240","	4802"
2/24/07,23:45:00,"	242","	10823"
2/24/07,23:45:00,"	244","	7387"
2/24/07,23:45:00,"	246","	1809"
2/25/07,0:00:00,"	240","	4802"
2/25/07,0:00:00,"	242","	10855"
2/25/07,0:00:00,"	244","	7316"
2/25/07,0:00:00,"	246","	1771"
2/25/07,0:15:00,"	240","	4403"
2/25/07,0:15:00,"	242","	10744"
2/25/07,0:15:00,"	244","	7784"
2/25/07,0:15:00,"	246","	1677"
2/25/07,0:30:00,"	240","	4355"
2/25/07,0:30:00,"	242","	10781"
2/25/07,0:30:00,"	244","	7780"
2/25/07,0:30:00,"	246","	1651"
2/25/07,0:45:00,"	240","	4361"
2/25/07,0:45:00,"	242","	10812"
2/25/07,0:45:00,"	244","	7776"
2/25/07,0:45:00,"	246","	1619"
2/25/07,1:00:00,"	240","	4368"
2/25/07,1:00:00,"	242","	10839"
2/25/07,1:00:00,"	244","	7768"
2/25/07,1:00:00,"	246","	1601"
2/25/07,1:15:00,"	240","	4691"
2/25/07,1:15:00,"	242","	10251"
2/25/07,1:15:00,"	244","	7684"
2/25/07,1:15:00,"	246","	1723"
2/25/07,1:30:00,"	240","	4665"
2/25/07,1:30:00,"	242","	10273"
2/25/07,1:30:00,"	244","	7677"
2/25/07,1:30:00,"	246","	1702"
2/25/07,1:45:00,"	240","	4667"
2/25/07,1:45:00,"	242","	10268"
2/25/07,1:45:00,"	244","	7680"
2/25/07,1:45:00,"	246","	1752"
2/25/07,2:00:00,"	240","	4668"
2/25/07,2:00:00,"	242","	10234"
2/25/07,2:00:00,"	244","	7695"
2/25/07,2:00:00,"	246","	1786"
2/25/07,2:15:00,"	240","	4617"
2/25/07,2:15:00,"	242","	10166"
2/25/07,2:15:00,"	244","	7603"
2/25/07,2:15:00,"	246","	1726"
2/25/07,2:30:00,"	240","	4617"
2/25/07,2:30:00,"	242","	10127"
2/25/07,2:30:00,"	244","	7591"
2/25/07,2:30:00,"	246","	1763"
2/25/07,2:45:00,"	240","	4617"
2/25/07,2:45:00,"	242","	10104"
2/25/07,2:45:00,"	244","	7609"
2/25/07,2:45:00,"	246","	1767"
2/25/07,3:00:00,"	240","	4617"
2/25/07,3:00:00,"	242","	10095"
2/25/07,3:00:00,"	244","	7647"
2/25/07,3:00:00,"	246","	1771"
2/25/07,3:15:00,"	240","	4617"
2/25/07,3:15:00,"	242","	9952"
2/25/07,3:15:00,"	244","	7588"
2/25/07,3:15:00,"	246","	1603"
2/25/07,3:30:00,"	240","	4617"
2/25/07,3:30:00,"	242","	9946"
2/25/07,3:30:00,"	244","	7604"
2/25/07,3:30:00,"	246","	1611"
2/25/07,3:45:00,"	240","	4617"
2/25/07,3:45:00,"	242","	9933"
2/25/07,3:45:00,"	244","	7644"
2/25/07,3:45:00,"	246","	1644"
2/25/07,4:00:00,"	240","	4624"
2/25/07,4:00:00,"	242","	9914"
2/25/07,4:00:00,"	244","	7704"
2/25/07,4:00:00,"	246","	1666"
2/25/07,4:15:00,"	240","	4969"
2/25/07,4:15:00,"	242","	10027"
2/25/07,4:15:00,"	244","	7811"
2/25/07,4:15:00,"	246","	1313"
2/25/07,4:30:00,"	240","	4973"
2/25/07,4:30:00,"	242","	10036"
2/25/07,4:30:00,"	244","	7813"
2/25/07,4:30:00,"	246","	1312"
2/25/07,4:45:00,"	240","	5006"
2/25/07,4:45:00,"	242","	10021"
2/25/07,4:45:00,"	244","	7781"
2/25/07,4:45:00,"	246","	1271"
2/25/07,5:00:00,"	240","	5040"
2/25/07,5:00:00,"	242","	10043"
2/25/07,5:00:00,"	244","	7723"
2/25/07,5:00:00,"	246","	1277"
2/25/07,5:15:00,"	240","	4903"
2/25/07,5:15:00,"	242","	10524"
2/25/07,5:15:00,"	244","	7781"
2/25/07,5:15:00,"	246","	1367"
2/25/07,5:30:00,"	240","	4903"
2/25/07,5:30:00,"	242","	10597"
2/25/07,5:30:00,"	244","	7763"
2/25/07,5:30:00,"	246","	1387"
2/25/07,5:45:00,"	240","	4903"
2/25/07,5:45:00,"	242","	10764"
2/25/07,5:45:00,"	244","	7794"
2/25/07,5:45:00,"	246","	1350"
2/25/07,6:00:00,"	240","	4903"
2/25/07,6:00:00,"	242","	11489"
2/25/07,6:00:00,"	244","	8226"
2/25/07,6:00:00,"	246","	1379"
2/25/07,6:15:00,"	240","	5116"
2/25/07,6:15:00,"	242","	12780"
2/25/07,6:15:00,"	244","	8494"
2/25/07,6:15:00,"	246","	1385"
2/25/07,6:30:00,"	240","	5116"
2/25/07,6:30:00,"	242","	12864"
2/25/07,6:30:00,"	244","	8580"
2/25/07,6:30:00,"	246","	1360"
2/25/07,6:45:00,"	240","	5116"
2/25/07,6:45:00,"	242","	12863"
2/25/07,6:45:00,"	244","	8713"
2/25/07,6:45:00,"	246","	1352"
2/25/07,7:00:00,"	240","	5116"
2/25/07,7:00:00,"	242","	12874"
2/25/07,7:00:00,"	244","	8967"
2/25/07,7:00:00,"	246","	1378"
2/25/07,7:15:00,"	240","	5220"
2/25/07,7:15:00,"	242","	13257"
2/25/07,7:15:00,"	244","	9257"
2/25/07,7:15:00,"	246","	1406"
2/25/07,7:30:00,"	240","	5220"
2/25/07,7:30:00,"	242","	13265"
2/25/07,7:30:00,"	244","	9297"
2/25/07,7:30:00,"	246","	1437"
2/25/07,7:45:00,"	240","	5220"
2/25/07,7:45:00,"	242","	13279"
2/25/07,7:45:00,"	244","	9329"
2/25/07,7:45:00,"	246","	1463"
2/25/07,8:00:00,"	240","	5220"
2/25/07,8:00:00,"	242","	13256"
2/25/07,8:00:00,"	244","	9355"
2/25/07,8:00:00,"	246","	1484"
2/25/07,8:15:00,"	240","	5301"
2/25/07,8:15:00,"	242","	13615"
2/25/07,8:15:00,"	244","	9507"
2/25/07,8:15:00,"	246","	1397"
2/25/07,8:30:00,"	240","	5301"
2/25/07,8:30:00,"	242","	13638"
2/25/07,8:30:00,"	244","	9550"
2/25/07,8:30:00,"	246","	1393"
2/25/07,8:45:00,"	240","	5301"
2/25/07,8:45:00,"	242","	13695"
2/25/07,8:45:00,"	244","	9573"
2/25/07,8:45:00,"	246","	1363"
2/25/07,9:00:00,"	240","	5301"
2/25/07,9:00:00,"	242","	13748"
2/25/07,9:00:00,"	244","	9577"
2/25/07,9:00:00,"	246","	1355"
2/25/07,9:15:00,"	240","	5349"
2/25/07,9:15:00,"	242","	13710"
2/25/07,9:15:00,"	244","	9614"
2/25/07,9:15:00,"	246","	1440"
2/25/07,9:30:00,"	240","	5349"
2/25/07,9:30:00,"	242","	13710"
2/25/07,9:30:00,"	244","	9632"
2/25/07,9:30:00,"	246","	1443"
2/25/07,9:45:00,"	240","	5349"
2/25/07,9:45:00,"	242","	13710"
2/25/07,9:45:00,"	244","	9646"
2/25/07,9:45:00,"	246","	1383"
2/25/07,10:00:00,"	240","	5349"
2/25/07,10:00:00,"	242","	13710"
2/25/07,10:00:00,"	244","	9656"
2/25/07,10:00:00,"	246","	1372"
2/25/07,10:15:00,"	240","	5393"
2/25/07,10:15:00,"	242","	13738"
2/25/07,10:15:00,"	244","	9624"
2/25/07,10:15:00,"	246","	1506"
2/25/07,10:30:00,"	240","	5362"
2/25/07,10:30:00,"	242","	13751"
2/25/07,10:30:00,"	244","	9596"
2/25/07,10:30:00,"	246","	1489"
2/25/07,10:45:00,"	240","	5331"
2/25/07,10:45:00,"	242","	13805"
2/25/07,10:45:00,"	244","	9517"
2/25/07,10:45:00,"	246","	1383"
2/25/07,11:00:00,"	240","	5300"
2/25/07,11:00:00,"	242","	13900"
2/25/07,11:00:00,"	244","	9401"
2/25/07,11:00:00,"	246","	1278"
2/25/07,11:15:00,"	240","	5396"
2/25/07,11:15:00,"	242","	13612"
2/25/07,11:15:00,"	244","	9169"
2/25/07,11:15:00,"	246","	1184"
2/25/07,11:30:00,"	240","	5396"
2/25/07,11:30:00,"	242","	13666"
2/25/07,11:30:00,"	244","	9083"
2/25/07,11:30:00,"	246","	1133"
2/25/07,11:45:00,"	240","	5396"
2/25/07,11:45:00,"	242","	13707"
2/25/07,11:45:00,"	244","	9062"
2/25/07,11:45:00,"	246","	1074"
2/25/07,12:00:00,"	240","	5396"
2/25/07,12:00:00,"	242","	13737"
2/25/07,12:00:00,"	244","	9111"
2/25/07,12:00:00,"	246","	1039"
2/25/07,12:15:00,"	240","	5244"
2/25/07,12:15:00,"	242","	13207"
2/25/07,12:15:00,"	244","	9147"
2/25/07,12:15:00,"	246","	1331"
2/25/07,12:30:00,"	240","	5244"
2/25/07,12:30:00,"	242","	13228"
2/25/07,12:30:00,"	244","	9226"
2/25/07,12:30:00,"	246","	1309"
2/25/07,12:45:00,"	240","	5244"
2/25/07,12:45:00,"	242","	13228"
2/25/07,12:45:00,"	244","	9272"
2/25/07,12:45:00,"	246","	1303"
2/25/07,13:00:00,"	240","	5244"
2/25/07,13:00:00,"	242","	13207"
2/25/07,13:00:00,"	244","	9275"
2/25/07,13:00:00,"	246","	1325"
2/25/07,13:15:00,"	240","	5226"
2/25/07,13:15:00,"	242","	12916"
2/25/07,13:15:00,"	244","	9174"
2/25/07,13:15:00,"	246","	1352"
2/25/07,13:30:00,"	240","	5226"
2/25/07,13:30:00,"	242","	12899"
2/25/07,13:30:00,"	244","	9159"
2/25/07,13:30:00,"	246","	1369"
2/25/07,13:45:00,"	240","	5226"
2/25/07,13:45:00,"	242","	12915"
2/25/07,13:45:00,"	244","	9137"
2/25/07,13:45:00,"	246","	1353"
2/25/07,14:00:00,"	240","	5226"
2/25/07,14:00:00,"	242","	12963"
2/25/07,14:00:00,"	244","	9114"
2/25/07,14:00:00,"	246","	1305"
2/25/07,14:15:00,"	240","	5221"
2/25/07,14:15:00,"	242","	12765"
2/25/07,14:15:00,"	244","	9090"
2/25/07,14:15:00,"	246","	1289"
2/25/07,14:30:00,"	240","	5221"
2/25/07,14:30:00,"	242","	12812"
2/25/07,14:30:00,"	244","	9070"
2/25/07,14:30:00,"	246","	1243"
2/25/07,14:45:00,"	240","	5221"
2/25/07,14:45:00,"	242","	12868"
2/25/07,14:45:00,"	244","	9054"
2/25/07,14:45:00,"	246","	1195"
2/25/07,15:00:00,"	240","	5221"
2/25/07,15:00:00,"	242","	12933"
2/25/07,15:00:00,"	244","	9042"
2/25/07,15:00:00,"	246","	1133"
2/25/07,15:15:00,"	240","	5217"
2/25/07,15:15:00,"	242","	13028"
2/25/07,15:15:00,"	244","	9079"
2/25/07,15:15:00,"	246","	963"
2/25/07,15:30:00,"	240","	5217"
2/25/07,15:30:00,"	242","	13054"
2/25/07,15:30:00,"	244","	9084"
2/25/07,15:30:00,"	246","	937"
2/25/07,15:45:00,"	240","	5231"
2/25/07,15:45:00,"	242","	13088"
2/25/07,15:45:00,"	244","	9098"
2/25/07,15:45:00,"	246","	915"
2/25/07,16:00:00,"	240","	5247"
2/25/07,16:00:00,"	242","	13131"
2/25/07,16:00:00,"	244","	9120"
2/25/07,16:00:00,"	246","	872"
2/25/07,16:15:00,"	240","	5213"
2/25/07,16:15:00,"	242","	13238"
2/25/07,16:15:00,"	244","	8930"
2/25/07,16:15:00,"	246","	807"
2/25/07,16:30:00,"	240","	5213"
2/25/07,16:30:00,"	242","	13250"
2/25/07,16:30:00,"	244","	8840"
2/25/07,16:30:00,"	246","	802"
2/25/07,16:45:00,"	240","	5213"
2/25/07,16:45:00,"	242","	13258"
2/25/07,16:45:00,"	244","	8803"
2/25/07,16:45:00,"	246","	841"
2/25/07,17:00:00,"	240","	5213"
2/25/07,17:00:00,"	242","	13259"
2/25/07,17:00:00,"	244","	8740"
2/25/07,17:00:00,"	246","	841"
2/25/07,17:15:00,"	240","	5174"
2/25/07,17:15:00,"	242","	12597"
2/25/07,17:15:00,"	244","	8706"
2/25/07,17:15:00,"	246","	942"
2/25/07,17:30:00,"	240","	5174"
2/25/07,17:30:00,"	242","	12596"
2/25/07,17:30:00,"	244","	8677"
2/25/07,17:30:00,"	246","	945"
2/25/07,17:45:00,"	240","	5174"
2/25/07,17:45:00,"	242","	12588"
2/25/07,17:45:00,"	244","	8702"
2/25/07,17:45:00,"	246","	939"
2/25/07,18:00:00,"	240","	5174"
2/25/07,18:00:00,"	242","	12576"
2/25/07,18:00:00,"	244","	8787"
2/25/07,18:00:00,"	246","	947"
2/25/07,18:15:00,"	240","	5273"
2/25/07,18:15:00,"	242","	12979"
2/25/07,18:15:00,"	244","	9073"
2/25/07,18:15:00,"	246","	1395"
2/25/07,18:30:00,"	240","	5273"
2/25/07,18:30:00,"	242","	12980"
2/25/07,18:30:00,"	244","	9184"
2/25/07,18:30:00,"	246","	1387"
2/25/07,18:45:00,"	240","	5273"
2/25/07,18:45:00,"	242","	12983"
2/25/07,18:45:00,"	244","	9230"
2/25/07,18:45:00,"	246","	1369"
2/25/07,19:00:00,"	240","	5273"
2/25/07,19:00:00,"	242","	12987"
2/25/07,19:00:00,"	244","	9267"
2/25/07,19:00:00,"	246","	1361"
2/25/07,19:15:00,"	240","	5282"
2/25/07,19:15:00,"	242","	13583"
2/25/07,19:15:00,"	244","	9429"
2/25/07,19:15:00,"	246","	1427"
2/25/07,19:30:00,"	240","	5282"
2/25/07,19:30:00,"	242","	13556"
2/25/07,19:30:00,"	244","	9435"
2/25/07,19:30:00,"	246","	1454"
2/25/07,19:45:00,"	240","	5282"
2/25/07,19:45:00,"	242","	13530"
2/25/07,19:45:00,"	244","	9439"
2/25/07,19:45:00,"	246","	1519"
2/25/07,20:00:00,"	240","	5282"
2/25/07,20:00:00,"	242","	13505"
2/25/07,20:00:00,"	244","	9442"
2/25/07,20:00:00,"	246","	1555"
2/25/07,20:15:00,"	240","	5328"
2/25/07,20:15:00,"	242","	13690"
2/25/07,20:15:00,"	244","	9546"
2/25/07,20:15:00,"	246","	1596"
2/25/07,20:30:00,"	240","	5328"
2/25/07,20:30:00,"	242","	13669"
2/25/07,20:30:00,"	244","	9548"
2/25/07,20:30:00,"	246","	1627"
2/25/07,20:45:00,"	240","	5328"
2/25/07,20:45:00,"	242","	13656"
2/25/07,20:45:00,"	244","	9518"
2/25/07,20:45:00,"	246","	1760"
2/25/07,21:00:00,"	240","	5328"
2/25/07,21:00:00,"	242","	13653"
2/25/07,21:00:00,"	244","	9460"
2/25/07,21:00:00,"	246","	1792"
2/25/07,21:15:00,"	240","	5270"
2/25/07,21:15:00,"	242","	13571"
2/25/07,21:15:00,"	244","	9193"
2/25/07,21:15:00,"	246","	1999"
2/25/07,21:30:00,"	240","	5270"
2/25/07,21:30:00,"	242","	13571"
2/25/07,21:30:00,"	244","	9149"
2/25/07,21:30:00,"	246","	2026"
2/25/07,21:45:00,"	240","	5270"
2/25/07,21:45:00,"	242","	13572"
2/25/07,21:45:00,"	244","	9138"
2/25/07,21:45:00,"	246","	2188"
2/25/07,22:00:00,"	240","	5270"
2/25/07,22:00:00,"	242","	13575"
2/25/07,22:00:00,"	244","	9145"
2/25/07,22:00:00,"	246","	2208"
2/25/07,22:15:00,"	240","	4969"
2/25/07,22:15:00,"	242","	11692"
2/25/07,22:15:00,"	244","	8731"
2/25/07,22:15:00,"	246","	2360"
2/25/07,22:30:00,"	240","	4969"
2/25/07,22:30:00,"	242","	11675"
2/25/07,22:30:00,"	244","	8733"
2/25/07,22:30:00,"	246","	2360"
2/25/07,22:45:00,"	240","	4969"
2/25/07,22:45:00,"	242","	11685"
2/25/07,22:45:00,"	244","	8712"
2/25/07,22:45:00,"	246","	2434"
2/25/07,23:00:00,"	240","	4969"
2/25/07,23:00:00,"	242","	11634"
2/25/07,23:00:00,"	244","	8656"
2/25/07,23:00:00,"	246","	2413"
2/25/07,23:15:00,"	240","	4927"
2/25/07,23:15:00,"	242","	11937"
2/25/07,23:15:00,"	244","	8027"
2/25/07,23:15:00,"	246","	2582"
2/25/07,23:30:00,"	240","	4927"
2/25/07,23:30:00,"	242","	11983"
2/25/07,23:30:00,"	244","	7840"
2/25/07,23:30:00,"	246","	2543"
2/25/07,23:45:00,"	240","	4927"
2/25/07,23:45:00,"	242","	12037"
2/25/07,23:45:00,"	244","	7774"
2/25/07,23:45:00,"	246","	2487"
2/26/07,0:00:00,"	240","	4927"
2/26/07,0:00:00,"	242","	12124"
2/26/07,0:00:00,"	244","	7799"
2/26/07,0:00:00,"	246","	2418"
2/26/07,0:15:00,"	240","	4793"
2/26/07,0:15:00,"	242","	11140"
2/26/07,0:15:00,"	244","	7592"
2/26/07,0:15:00,"	246","	2270"
2/26/07,0:30:00,"	240","	4793"
2/26/07,0:30:00,"	242","	10935"
2/26/07,0:30:00,"	244","	7639"
2/26/07,0:30:00,"	246","	2257"
2/26/07,0:45:00,"	240","	4793"
2/26/07,0:45:00,"	242","	10830"
2/26/07,0:45:00,"	244","	7667"
2/26/07,0:45:00,"	246","	2246"
2/26/07,1:00:00,"	240","	4793"
2/26/07,1:00:00,"	242","	10831"
2/26/07,1:00:00,"	244","	7670"
2/26/07,1:00:00,"	246","	2243"
2/26/07,1:15:00,"	240","	5002"
2/26/07,1:15:00,"	242","	10194"
2/26/07,1:15:00,"	244","	7566"
2/26/07,1:15:00,"	246","	2237"
2/26/07,1:30:00,"	240","	4969"
2/26/07,1:30:00,"	242","	10194"
2/26/07,1:30:00,"	244","	7547"
2/26/07,1:30:00,"	246","	2238"
2/26/07,1:45:00,"	240","	4943"
2/26/07,1:45:00,"	242","	10200"
2/26/07,1:45:00,"	244","	7534"
2/26/07,1:45:00,"	246","	2246"
2/26/07,2:00:00,"	240","	4943"
2/26/07,2:00:00,"	242","	10208"
2/26/07,2:00:00,"	244","	7525"
2/26/07,2:00:00,"	246","	2246"
2/26/07,2:15:00,"	240","	4960"
2/26/07,2:15:00,"	242","	10259"
2/26/07,2:15:00,"	244","	7499"
2/26/07,2:15:00,"	246","	2259"
2/26/07,2:30:00,"	240","	4960"
2/26/07,2:30:00,"	242","	10265"
2/26/07,2:30:00,"	244","	7498"
2/26/07,2:30:00,"	246","	2259"
2/26/07,2:45:00,"	240","	4960"
2/26/07,2:45:00,"	242","	10271"
2/26/07,2:45:00,"	244","	7499"
2/26/07,2:45:00,"	246","	2274"
2/26/07,3:00:00,"	240","	4960"
2/26/07,3:00:00,"	242","	10277"
2/26/07,3:00:00,"	244","	7500"
2/26/07,3:00:00,"	246","	2273"
2/26/07,3:15:00,"	240","	4966"
2/26/07,3:15:00,"	242","	10353"
2/26/07,3:15:00,"	244","	7495"
2/26/07,3:15:00,"	246","	2072"
2/26/07,3:30:00,"	240","	4966"
2/26/07,3:30:00,"	242","	10369"
2/26/07,3:30:00,"	244","	7501"
2/26/07,3:30:00,"	246","	2073"
2/26/07,3:45:00,"	240","	4966"
2/26/07,3:45:00,"	242","	10362"
2/26/07,3:45:00,"	244","	7515"
2/26/07,3:45:00,"	246","	2091"
2/26/07,4:00:00,"	240","	4980"
2/26/07,4:00:00,"	242","	10376"
2/26/07,4:00:00,"	244","	7542"
2/26/07,4:00:00,"	246","	2095"
2/26/07,4:15:00,"	240","	4865"
2/26/07,4:15:00,"	242","	10671"
2/26/07,4:15:00,"	244","	7669"
2/26/07,4:15:00,"	246","	2438"
2/26/07,4:30:00,"	240","	4880"
2/26/07,4:30:00,"	242","	10612"
2/26/07,4:30:00,"	244","	7701"
2/26/07,4:30:00,"	246","	2514"
2/26/07,4:45:00,"	240","	4948"
2/26/07,4:45:00,"	242","	10622"
2/26/07,4:45:00,"	244","	7726"
2/26/07,4:45:00,"	246","	2571"
2/26/07,5:00:00,"	240","	5056"
2/26/07,5:00:00,"	242","	10861"
2/26/07,5:00:00,"	244","	7742"
2/26/07,5:00:00,"	246","	2636"
2/26/07,5:15:00,"	240","	4737"
2/26/07,5:15:00,"	242","	11622"
2/26/07,5:15:00,"	244","	7955"
2/26/07,5:15:00,"	246","	2670"
2/26/07,5:30:00,"	240","	4737"
2/26/07,5:30:00,"	242","	11670"
2/26/07,5:30:00,"	244","	8049"
2/26/07,5:30:00,"	246","	2703"
2/26/07,5:45:00,"	240","	4737"
2/26/07,5:45:00,"	242","	11749"
2/26/07,5:45:00,"	244","	8174"
2/26/07,5:45:00,"	246","	2698"
2/26/07,6:00:00,"	240","	4737"
2/26/07,6:00:00,"	242","	12292"
2/26/07,6:00:00,"	244","	9029"
2/26/07,6:00:00,"	246","	2695"
2/26/07,6:15:00,"	240","	5786"
2/26/07,6:15:00,"	242","	14434"
2/26/07,6:15:00,"	244","	9328"
2/26/07,6:15:00,"	246","	2501"
2/26/07,6:30:00,"	240","	5786"
2/26/07,6:30:00,"	242","	14642"
2/26/07,6:30:00,"	244","	9385"
2/26/07,6:30:00,"	246","	2461"
2/26/07,6:45:00,"	240","	5786"
2/26/07,6:45:00,"	242","	14770"
2/26/07,6:45:00,"	244","	9441"
2/26/07,6:45:00,"	246","	2406"
2/26/07,7:00:00,"	240","	5786"
2/26/07,7:00:00,"	242","	14964"
2/26/07,7:00:00,"	244","	9494"
2/26/07,7:00:00,"	246","	2453"
2/26/07,7:15:00,"	240","	5911"
2/26/07,7:15:00,"	242","	15215"
2/26/07,7:15:00,"	244","	9606"
2/26/07,7:15:00,"	246","	2789"
2/26/07,7:30:00,"	240","	5911"
2/26/07,7:30:00,"	242","	15204"
2/26/07,7:30:00,"	244","	9619"
2/26/07,7:30:00,"	246","	2857"
2/26/07,7:45:00,"	240","	5911"
2/26/07,7:45:00,"	242","	15226"
2/26/07,7:45:00,"	244","	9617"
2/26/07,7:45:00,"	246","	2923"
2/26/07,8:00:00,"	240","	5911"
2/26/07,8:00:00,"	242","	15272"
2/26/07,8:00:00,"	244","	9601"
2/26/07,8:00:00,"	246","	2877"
2/26/07,8:15:00,"	240","	5802"
2/26/07,8:15:00,"	242","	14854"
2/26/07,8:15:00,"	244","	9523"
2/26/07,8:15:00,"	246","	2644"
2/26/07,8:30:00,"	240","	5802"
2/26/07,8:30:00,"	242","	14985"
2/26/07,8:30:00,"	244","	9503"
2/26/07,8:30:00,"	246","	2579"
2/26/07,8:45:00,"	240","	5802"
2/26/07,8:45:00,"	242","	15069"
2/26/07,8:45:00,"	244","	9485"
2/26/07,8:45:00,"	246","	2493"
2/26/07,9:00:00,"	240","	5802"
2/26/07,9:00:00,"	242","	15121"
2/26/07,9:00:00,"	244","	9468"
2/26/07,9:00:00,"	246","	2427"
2/26/07,9:15:00,"	240","	5810"
2/26/07,9:15:00,"	242","	14699"
2/26/07,9:15:00,"	244","	9391"
2/26/07,9:15:00,"	246","	2174"
2/26/07,9:30:00,"	240","	5810"
2/26/07,9:30:00,"	242","	14739"
2/26/07,9:30:00,"	244","	9359"
2/26/07,9:30:00,"	246","	2111"
2/26/07,9:45:00,"	240","	5810"
2/26/07,9:45:00,"	242","	14779"
2/26/07,9:45:00,"	244","	9319"
2/26/07,9:45:00,"	246","	1931"
2/26/07,10:00:00,"	240","	5810"
2/26/07,10:00:00,"	242","	14819"
2/26/07,10:00:00,"	244","	9275"
2/26/07,10:00:00,"	246","	1859"
2/26/07,10:15:00,"	240","	6049"
2/26/07,10:15:00,"	242","	14534"
2/26/07,10:15:00,"	244","	9251"
2/26/07,10:15:00,"	246","	1820"
2/26/07,10:30:00,"	240","	5949"
2/26/07,10:30:00,"	242","	14539"
2/26/07,10:30:00,"	244","	9211"
2/26/07,10:30:00,"	246","	1818"
2/26/07,10:45:00,"	240","	5876"
2/26/07,10:45:00,"	242","	14542"
2/26/07,10:45:00,"	244","	9174"
2/26/07,10:45:00,"	246","	1819"
2/26/07,11:00:00,"	240","	5849"
2/26/07,11:00:00,"	242","	14542"
2/26/07,11:00:00,"	244","	9144"
2/26/07,11:00:00,"	246","	1823"
2/26/07,11:15:00,"	240","	5860"
2/26/07,11:15:00,"	242","	14472"
2/26/07,11:15:00,"	244","	9100"
2/26/07,11:15:00,"	246","	1744"
2/26/07,11:30:00,"	240","	5860"
2/26/07,11:30:00,"	242","	14472"
2/26/07,11:30:00,"	244","	9110"
2/26/07,11:30:00,"	246","	1748"
2/26/07,11:45:00,"	240","	5860"
2/26/07,11:45:00,"	242","	14472"
2/26/07,11:45:00,"	244","	9151"
2/26/07,11:45:00,"	246","	1756"
2/26/07,12:00:00,"	240","	5860"
2/26/07,12:00:00,"	242","	14472"
2/26/07,12:00:00,"	244","	9218"
2/26/07,12:00:00,"	246","	1757"
2/26/07,12:15:00,"	240","	5852"
2/26/07,12:15:00,"	242","	14185"
2/26/07,12:15:00,"	244","	9374"
2/26/07,12:15:00,"	246","	1852"
2/26/07,12:30:00,"	240","	5852"
2/26/07,12:30:00,"	242","	14185"
2/26/07,12:30:00,"	244","	9445"
2/26/07,12:30:00,"	246","	1848"
2/26/07,12:45:00,"	240","	5852"
2/26/07,12:45:00,"	242","	14185"
2/26/07,12:45:00,"	244","	9493"
2/26/07,12:45:00,"	246","	1860"
2/26/07,13:00:00,"	240","	5852"
2/26/07,13:00:00,"	242","	14185"
2/26/07,13:00:00,"	244","	9512"
2/26/07,13:00:00,"	246","	1846"
2/26/07,13:15:00,"	240","	5848"
2/26/07,13:15:00,"	242","	14110"
2/26/07,13:15:00,"	244","	9424"
2/26/07,13:15:00,"	246","	1853"
2/26/07,13:30:00,"	240","	5848"
2/26/07,13:30:00,"	242","	14098"
2/26/07,13:30:00,"	244","	9431"
2/26/07,13:30:00,"	246","	1838"
2/26/07,13:45:00,"	240","	5848"
2/26/07,13:45:00,"	242","	14098"
2/26/07,13:45:00,"	244","	9433"
2/26/07,13:45:00,"	246","	1815"
2/26/07,14:00:00,"	240","	5848"
2/26/07,14:00:00,"	242","	14098"
2/26/07,14:00:00,"	244","	9436"
2/26/07,14:00:00,"	246","	1813"
2/26/07,14:15:00,"	240","	5824"
2/26/07,14:15:00,"	242","	14120"
2/26/07,14:15:00,"	244","	9520"
2/26/07,14:15:00,"	246","	1688"
2/26/07,14:30:00,"	240","	5824"
2/26/07,14:30:00,"	242","	14120"
2/26/07,14:30:00,"	244","	9523"
2/26/07,14:30:00,"	246","	1633"
2/26/07,14:45:00,"	240","	5824"
2/26/07,14:45:00,"	242","	14120"
2/26/07,14:45:00,"	244","	9525"
2/26/07,14:45:00,"	246","	1594"
2/26/07,15:00:00,"	240","	5824"
2/26/07,15:00:00,"	242","	14120"
2/26/07,15:00:00,"	244","	9528"
2/26/07,15:00:00,"	246","	1586"
2/26/07,15:15:00,"	240","	5837"
2/26/07,15:15:00,"	242","	14094"
2/26/07,15:15:00,"	244","	9570"
2/26/07,15:15:00,"	246","	1613"
2/26/07,15:30:00,"	240","	5837"
2/26/07,15:30:00,"	242","	14094"
2/26/07,15:30:00,"	244","	9584"
2/26/07,15:30:00,"	246","	1568"
2/26/07,15:45:00,"	240","	5844"
