CPT,ENDING,ZONEID,"	MW"
1/1/07,22:30:00,"	242","	13855"
1/1/07,22:30:00,"	244","	9078"
1/1/07,22:30:00,"	246","	1914"
1/1/07,22:45:00,"	240","	6229"
1/1/07,22:45:00,"	242","	13915"
1/1/07,22:45:00,"	244","	8934"
1/1/07,22:45:00,"	246","	1887"
1/1/07,23:00:00,"	240","	6244"
1/1/07,23:00:00,"	242","	13851"
1/1/07,23:00:00,"	244","	8884"
1/1/07,23:00:00,"	246","	1845"
1/1/07,23:15:00,"	240","	6041"
1/1/07,23:15:00,"	242","	13157"
1/1/07,23:15:00,"	244","	8502"
1/1/07,23:15:00,"	246","	1913"
1/1/07,23:30:00,"	240","	6008"
1/1/07,23:30:00,"	242","	13179"
1/1/07,23:30:00,"	244","	8514"
1/1/07,23:30:00,"	246","	1876"
1/1/07,23:45:00,"	240","	6023"
1/1/07,23:45:00,"	242","	13142"
1/1/07,23:45:00,"	244","	8513"
1/1/07,23:45:00,"	246","	1866"
1/2/07,0:00:00,"	240","	5938"
1/2/07,0:00:00,"	242","	13062"
1/2/07,0:00:00,"	244","	8546"
1/2/07,0:00:00,"	246","	1902"
1/2/07,0:15:00,"	240","	6062"
1/2/07,0:15:00,"	242","	13579"
1/2/07,0:15:00,"	244","	8675"
1/2/07,0:15:00,"	246","	1916"
1/2/07,0:30:00,"	240","	5987"
1/2/07,0:30:00,"	242","	13612"
1/2/07,0:30:00,"	244","	8672"
1/2/07,0:30:00,"	246","	1960"
1/2/07,0:45:00,"	240","	5920"
1/2/07,0:45:00,"	242","	13641"
1/2/07,0:45:00,"	244","	8669"
1/2/07,0:45:00,"	246","	2039"
1/2/07,1:00:00,"	240","	5859"
1/2/07,1:00:00,"	242","	13672"
1/2/07,1:00:00,"	244","	8664"
1/2/07,1:00:00,"	246","	2081"
1/2/07,1:15:00,"	240","	5576"
1/2/07,1:15:00,"	242","	13641"
1/2/07,1:15:00,"	244","	8594"
1/2/07,1:15:00,"	246","	2044"
1/2/07,1:30:00,"	240","	5553"
1/2/07,1:30:00,"	242","	13646"
1/2/07,1:30:00,"	244","	8585"
1/2/07,1:30:00,"	246","	2085"
1/2/07,1:45:00,"	240","	5530"
1/2/07,1:45:00,"	242","	13656"
1/2/07,1:45:00,"	244","	8585"
1/2/07,1:45:00,"	246","	2112"
1/2/07,2:00:00,"	240","	5509"
1/2/07,2:00:00,"	242","	13671"
1/2/07,2:00:00,"	244","	8584"
1/2/07,2:00:00,"	246","	2156"
1/2/07,2:15:00,"	240","	5585"
1/2/07,2:15:00,"	242","	13574"
1/2/07,2:15:00,"	244","	8612"
1/2/07,2:15:00,"	246","	2134"
1/2/07,2:30:00,"	240","	5585"
1/2/07,2:30:00,"	242","	13547"
1/2/07,2:30:00,"	244","	8611"
1/2/07,2:30:00,"	246","	2058"
1/2/07,2:45:00,"	240","	5589"
1/2/07,2:45:00,"	242","	13575"
1/2/07,2:45:00,"	244","	8615"
1/2/07,2:45:00,"	246","	1988"
1/2/07,3:00:00,"	240","	5611"
1/2/07,3:00:00,"	242","	13576"
1/2/07,3:00:00,"	244","	8622"
1/2/07,3:00:00,"	246","	1982"
1/2/07,3:15:00,"	240","	5641"
1/2/07,3:15:00,"	242","	13874"
1/2/07,3:15:00,"	244","	8720"
1/2/07,3:15:00,"	246","	1893"
1/2/07,3:30:00,"	240","	5641"
1/2/07,3:30:00,"	242","	13899"
1/2/07,3:30:00,"	244","	8743"
1/2/07,3:30:00,"	246","	1903"
1/2/07,3:45:00,"	240","	5647"
1/2/07,3:45:00,"	242","	13983"
1/2/07,3:45:00,"	244","	8768"
1/2/07,3:45:00,"	246","	1922"
1/2/07,4:00:00,"	240","	5661"
1/2/07,4:00:00,"	242","	14044"
1/2/07,4:00:00,"	244","	8801"
1/2/07,4:00:00,"	246","	1947"
1/2/07,4:15:00,"	240","	6034"
1/2/07,4:15:00,"	242","	14319"
1/2/07,4:15:00,"	244","	9032"
1/2/07,4:15:00,"	246","	2005"
1/2/07,4:30:00,"	240","	6094"
1/2/07,4:30:00,"	242","	14383"
1/2/07,4:30:00,"	244","	9060"
1/2/07,4:30:00,"	246","	2076"
1/2/07,4:45:00,"	240","	6154"
1/2/07,4:45:00,"	242","	14391"
1/2/07,4:45:00,"	244","	9084"
1/2/07,4:45:00,"	246","	2141"
1/2/07,5:00:00,"	240","	6224"
1/2/07,5:00:00,"	242","	14444"
1/2/07,5:00:00,"	244","	9100"
1/2/07,5:00:00,"	246","	2227"
1/2/07,5:15:00,"	240","	6540"
1/2/07,5:15:00,"	242","	15329"
1/2/07,5:15:00,"	244","	9664"
1/2/07,5:15:00,"	246","	2321"
1/2/07,5:30:00,"	240","	6540"
1/2/07,5:30:00,"	242","	15500"
1/2/07,5:30:00,"	244","	9763"
1/2/07,5:30:00,"	246","	2412"
1/2/07,5:45:00,"	240","	6540"
1/2/07,5:45:00,"	242","	15844"
