CPT,"ENDING	",ZONEID,MW
10/6/01,18:45:00,"	24","	1610"
10/6/01,18:45:00,"	26","	8006"
10/6/01,18:45:00,"	28","	17124"
10/6/01,19:00:00,"	24","	1626"
10/6/01,19:00:00,"	26","	8010"
10/6/01,19:00:00,"	28","	17300"
10/6/01,19:15:00,"	24","	1679"
10/6/01,19:15:00,"	26","	8114"
10/6/01,19:15:00,"	28","	17550"
10/6/01,19:30:00,"	24","	1694"
10/6/01,19:30:00,"	26","	8110"
10/6/01,19:30:00,"	28","	17711"
10/6/01,19:45:00,"	24","	1697"
10/6/01,19:45:00,"	26","	8086"
10/6/01,19:45:00,"	28","	17815"
10/6/01,20:00:00,"	24","	1689"
10/6/01,20:00:00,"	26","	8045"
10/6/01,20:00:00,"	28","	17869"
10/6/01,20:15:00,"	24","	1666"
10/6/01,20:15:00,"	26","	8014"
10/6/01,20:15:00,"	28","	17988"
10/6/01,20:30:00,"	24","	1655"
10/6/01,20:30:00,"	26","	7972"
10/6/01,20:30:00,"	28","	17947"
10/6/01,20:45:00,"	24","	1646"
10/6/01,20:45:00,"	26","	7933"
10/6/01,20:45:00,"	28","	17854"
10/6/01,21:00:00,"	24","	1638"
10/6/01,21:00:00,"	26","	7884"
10/6/01,21:00:00,"	28","	17716"
10/6/01,21:15:00,"	24","	1638"
10/6/01,21:15:00,"	26","	7692"
10/6/01,21:15:00,"	28","	17442"
10/6/01,21:30:00,"	24","	1625"
10/6/01,21:30:00,"	26","	7636"
10/6/01,21:30:00,"	28","	17291"
10/6/01,21:45:00,"	24","	1616"
10/6/01,21:45:00,"	26","	7586"
10/6/01,21:45:00,"	28","	17111"
10/6/01,22:00:00,"	24","	1593"
10/6/01,22:00:00,"	26","	7539"
10/6/01,22:00:00,"	28","	16926"
10/6/01,22:15:00,"	24","	1865"
10/6/01,22:15:00,"	26","	7420"
10/6/01,22:15:00,"	28","	16328"
10/6/01,22:30:00,"	24","	1840"
10/6/01,22:30:00,"	26","	7372"
10/6/01,22:30:00,"	28","	16102"
10/6/01,22:45:00,"	24","	1800"
10/6/01,22:45:00,"	26","	7315"
10/6/01,22:45:00,"	28","	15866"
10/6/01,23:00:00,"	24","	1779"
10/6/01,23:00:00,"	26","	7243"
10/6/01,23:00:00,"	28","	15615"
10/6/01,23:15:00,"	24","	1753"
10/6/01,23:15:00,"	26","	6955"
10/6/01,23:15:00,"	28","	14896"
10/6/01,23:30:00,"	24","	1739"
10/6/01,23:30:00,"	26","	6898"
10/6/01,23:30:00,"	28","	14689"
10/6/01,23:45:00,"	24","	1735"
10/6/01,23:45:00,"	26","	6877"
10/6/01,23:45:00,"	28","	14598"
10/7/01,0:00:00,"	24","	1742"
10/7/01,0:00:00,"	26","	6890"
10/7/01,0:00:00,"	28","	14604"
10/7/01,0:15:00,"	24","	1516"
10/7/01,0:15:00,"	26","	6766"
10/7/01,0:15:00,"	28","	14566"
10/7/01,0:30:00,"	24","	1539"
10/7/01,0:30:00,"	26","	6786"
10/7/01,0:30:00,"	28","	14501"
10/7/01,0:45:00,"	24","	1539"
10/7/01,0:45:00,"	26","	6784"
10/7/01,0:45:00,"	28","	14425"
10/7/01,1:00:00,"	24","	1518"
10/7/01,1:00:00,"	26","	6759"
10/7/01,1:00:00,"	28","	14320"
10/7/01,1:15:00,"	24","	1338"
10/7/01,1:15:00,"	26","	6735"
10/7/01,1:15:00,"	28","	14157"
10/7/01,1:30:00,"	24","	1312"
10/7/01,1:30:00,"	26","	6702"
10/7/01,1:30:00,"	28","	14055"
10/7/01,1:45:00,"	24","	1297"
10/7/01,1:45:00,"	26","	6667"
10/7/01,1:45:00,"	28","	13965"
10/7/01,2:00:00,"	24","	1293"
10/7/01,2:00:00,"	26","	6628"
10/7/01,2:00:00,"	28","	13885"
10/7/01,2:15:00,"	24","	1310"
10/7/01,2:15:00,"	26","	6593"
10/7/01,2:15:00,"	28","	13715"
10/7/01,2:30:00,"	24","	1310"
10/7/01,2:30:00,"	26","	6556"
10/7/01,2:30:00,"	28","	13664"
10/7/01,2:45:00,"	24","	1310"
10/7/01,2:45:00,"	26","	6527"
10/7/01,2:45:00,"	28","	13631"
10/7/01,3:00:00,"	24","	1310"
10/7/01,3:00:00,"	26","	6512"
10/7/01,3:00:00,"	28","	13600"
10/7/01,3:15:00,"	24","	1304"
10/7/01,3:15:00,"	26","	6515"
10/7/01,3:15:00,"	28","	13548"
10/7/01,3:30:00,"	24","	1304"
10/7/01,3:30:00,"	26","	6499"
10/7/01,3:30:00,"	28","	13523"
10/7/01,3:45:00,"	24","	1304"
10/7/01,3:45:00,"	26","	6488"
10/7/01,3:45:00,"	28","	13505"
10/7/01,4:00:00,"	24","	1304"
10/7/01,4:00:00,"	26","	6483"
10/7/01,4:00:00,"	28","	13490"
10/7/01,4:15:00,"	24","	1300"
10/7/01,4:15:00,"	26","	6461"
10/7/01,4:15:00,"	28","	13447"
10/7/01,4:30:00,"	24","	1300"
10/7/01,4:30:00,"	26","	6463"
10/7/01,4:30:00,"	28","	13431"
10/7/01,4:45:00,"	24","	1300"
10/7/01,4:45:00,"	26","	6480"
10/7/01,4:45:00,"	28","	13420"
10/7/01,5:00:00,"	24","	1300"
10/7/01,5:00:00,"	26","	6513"
10/7/01,5:00:00,"	28","	13418"
10/7/01,5:15:00,"	24","	1290"
10/7/01,5:15:00,"	26","	6663"
10/7/01,5:15:00,"	28","	13329"
10/7/01,5:30:00,"	24","	1292"
10/7/01,5:30:00,"	26","	6701"
10/7/01,5:30:00,"	28","	13352"
10/7/01,5:45:00,"	24","	1301"
10/7/01,5:45:00,"	26","	6733"
10/7/01,5:45:00,"	28","	13427"
10/7/01,6:00:00,"	24","	1317"
10/7/01,6:00:00,"	26","	6759"
10/7/01,6:00:00,"	28","	13524"
10/7/01,6:15:00,"	24","	1376"
10/7/01,6:15:00,"	26","	7084"
10/7/01,6:15:00,"	28","	13529"
10/7/01,6:30:00,"	24","	1391"
10/7/01,6:30:00,"	26","	7108"
10/7/01,6:30:00,"	28","	13617"
10/7/01,6:45:00,"	24","	1400"
10/7/01,6:45:00,"	26","	7111"
10/7/01,6:45:00,"	28","	13671"
10/7/01,7:00:00,"	24","	1401"
10/7/01,7:00:00,"	26","	7085"
10/7/01,7:00:00,"	28","	13700"
10/7/01,7:15:00,"	24","	1365"
10/7/01,7:15:00,"	26","	7320"
10/7/01,7:15:00,"	28","	13940"
10/7/01,7:30:00,"	24","	1366"
10/7/01,7:30:00,"	26","	7297"
10/7/01,7:30:00,"	28","	13960"
10/7/01,7:45:00,"	24","	1379"
10/7/01,7:45:00,"	26","	7329"
10/7/01,7:45:00,"	28","	13994"
10/7/01,8:00:00,"	24","	1398"
10/7/01,8:00:00,"	26","	7417"
10/7/01,8:00:00,"	28","	14028"
10/7/01,8:15:00,"	24","	1470"
10/7/01,8:15:00,"	26","	7427"
10/7/01,8:15:00,"	28","	14218"
10/7/01,8:30:00,"	24","	1489"
10/7/01,8:30:00,"	26","	7463"
10/7/01,8:30:00,"	28","	14291"
10/7/01,8:45:00,"	24","	1504"
10/7/01,8:45:00,"	26","	7497"
10/7/01,8:45:00,"	28","	14411"
10/7/01,9:00:00,"	24","	1516"
10/7/01,9:00:00,"	26","	7530"
10/7/01,9:00:00,"	28","	14568"
10/7/01,9:15:00,"	24","	1505"
10/7/01,9:15:00,"	26","	7479"
10/7/01,9:15:00,"	28","	15043"
10/7/01,9:30:00,"	24","	1515"
10/7/01,9:30:00,"	26","	7511"
10/7/01,9:30:00,"	28","	15183"
10/7/01,9:45:00,"	24","	1534"
10/7/01,9:45:00,"	26","	7550"
10/7/01,9:45:00,"	28","	15276"
10/7/01,10:00:00,"	24","	1557"
10/7/01,10:00:00,"	26","	7588"
10/7/01,10:00:00,"	28","	15354"
10/7/01,10:15:00,"	24","	1592"
10/7/01,10:15:00,"	26","	7407"
10/7/01,10:15:00,"	28","	15313"
10/7/01,10:30:00,"	24","	1614"
10/7/01,10:30:00,"	26","	7496"
10/7/01,10:30:00,"	28","	15378"
10/7/01,10:45:00,"	24","	1627"
10/7/01,10:45:00,"	26","	7522"
10/7/01,10:45:00,"	28","	15476"
10/7/01,11:00:00,"	24","	1637"
10/7/01,11:00:00,"	26","	7545"
10/7/01,11:00:00,"	28","	15600"
10/7/01,11:15:00,"	24","	1626"
10/7/01,11:15:00,"	26","	7500"
10/7/01,11:15:00,"	28","	16370"
10/7/01,11:30:00,"	24","	1634"
10/7/01,11:30:00,"	26","	7522"
10/7/01,11:30:00,"	28","	16523"
10/7/01,11:45:00,"	24","	1642"
10/7/01,11:45:00,"	26","	7538"
10/7/01,11:45:00,"	28","	16624"
10/7/01,12:00:00,"	24","	1658"
10/7/01,12:00:00,"	26","	7557"
10/7/01,12:00:00,"	28","	16690"
10/7/01,12:15:00,"	24","	1681"
10/7/01,12:15:00,"	26","	7516"
10/7/01,12:15:00,"	28","	16624"
10/7/01,12:30:00,"	24","	1696"
10/7/01,12:30:00,"	26","	7529"
10/7/01,12:30:00,"	28","	16679"
10/7/01,12:45:00,"	24","	1708"
10/7/01,12:45:00,"	26","	7541"
10/7/01,12:45:00,"	28","	16762"
10/7/01,13:00:00,"	24","	1722"
10/7/01,13:00:00,"	26","	7560"
10/7/01,13:00:00,"	28","	16860"
10/7/01,13:15:00,"	24","	1736"
10/7/01,13:15:00,"	26","	7522"
10/7/01,13:15:00,"	28","	17092"
10/7/01,13:30:00,"	24","	1747"
10/7/01,13:30:00,"	26","	7536"
10/7/01,13:30:00,"	28","	17183"
10/7/01,13:45:00,"	24","	1752"
10/7/01,13:45:00,"	26","	7552"
10/7/01,13:45:00,"	28","	17234"
10/7/01,14:00:00,"	24","	1756"
10/7/01,14:00:00,"	26","	7570"
10/7/01,14:00:00,"	28","	17277"
10/7/01,14:15:00,"	24","	1750"
10/7/01,14:15:00,"	26","	7540"
10/7/01,14:15:00,"	28","	16996"
10/7/01,14:30:00,"	24","	1750"
10/7/01,14:30:00,"	26","	7555"
10/7/01,14:30:00,"	28","	17015"
10/7/01,14:45:00,"	24","	1750"
10/7/01,14:45:00,"	26","	7571"
10/7/01,14:45:00,"	28","	17063"
10/7/01,15:00:00,"	24","	1750"
10/7/01,15:00:00,"	26","	7585"
10/7/01,15:00:00,"	28","	17127"
10/7/01,15:15:00,"	24","	1754"
10/7/01,15:15:00,"	26","	7572"
10/7/01,15:15:00,"	28","	17301"
10/7/01,15:30:00,"	24","	1754"
10/7/01,15:30:00,"	26","	7585"
10/7/01,15:30:00,"	28","	17350"
10/7/01,15:45:00,"	24","	1754"
10/7/01,15:45:00,"	26","	7608"
10/7/01,15:45:00,"	28","	17375"
10/7/01,16:00:00,"	24","	1754"
10/7/01,16:00:00,"	26","	7643"
10/7/01,16:00:00,"	28","	17381"
10/7/01,16:15:00,"	24","	1759"
10/7/01,16:15:00,"	26","	7652"
10/7/01,16:15:00,"	28","	17334"
10/7/01,16:30:00,"	24","	1759"
10/7/01,16:30:00,"	26","	7689"
10/7/01,16:30:00,"	28","	17347"
10/7/01,16:45:00,"	24","	1764"
10/7/01,16:45:00,"	26","	7732"
10/7/01,16:45:00,"	28","	17378"
10/7/01,17:00:00,"	24","	1768"
10/7/01,17:00:00,"	26","	7780"
10/7/01,17:00:00,"	28","	17419"
10/7/01,17:15:00,"	24","	1773"
10/7/01,17:15:00,"	26","	7829"
10/7/01,17:15:00,"	28","	17689"
10/7/01,17:30:00,"	24","	1778"
10/7/01,17:30:00,"	26","	7872"
10/7/01,17:30:00,"	28","	17783"
10/7/01,17:45:00,"	24","	1793"
10/7/01,17:45:00,"	26","	7890"
10/7/01,17:45:00,"	28","	17881"
10/7/01,18:00:00,"	24","	1808"
10/7/01,18:00:00,"	26","	7888"
10/7/01,18:00:00,"	28","	17961"
10/7/01,18:15:00,"	24","	1848"
10/7/01,18:15:00,"	26","	7815"
10/7/01,18:15:00,"	28","	18252"
10/7/01,18:30:00,"	24","	1863"
10/7/01,18:30:00,"	26","	7807"
10/7/01,18:30:00,"	28","	18349"
10/7/01,18:45:00,"	24","	1857"
10/7/01,18:45:00,"	26","	7816"
10/7/01,18:45:00,"	28","	18414"
10/7/01,19:00:00,"	24","	1852"
10/7/01,19:00:00,"	26","	7837"
10/7/01,19:00:00,"	28","	18479"
10/7/01,19:15:00,"	24","	1845"
10/7/01,19:15:00,"	26","	8008"
10/7/01,19:15:00,"	28","	18529"
10/7/01,19:30:00,"	24","	1839"
10/7/01,19:30:00,"	26","	8023"
10/7/01,19:30:00,"	28","	18560"
10/7/01,19:45:00,"	24","	1832"
10/7/01,19:45:00,"	26","	8021"
10/7/01,19:45:00,"	28","	18572"
10/7/01,20:00:00,"	24","	1824"
10/7/01,20:00:00,"	26","	8002"
10/7/01,20:00:00,"	28","	18561"
10/7/01,20:15:00,"	24","	1839"
10/7/01,20:15:00,"	26","	8095"
10/7/01,20:15:00,"	28","	17849"
10/7/01,20:30:00,"	24","	1828"
10/7/01,20:30:00,"	26","	8181"
10/7/01,20:30:00,"	28","	17784"
10/7/01,20:45:00,"	24","	1804"
10/7/01,20:45:00,"	26","	8222"
10/7/01,20:45:00,"	28","	17668"
10/7/01,21:00:00,"	24","	1767"
10/7/01,21:00:00,"	26","	8210"
10/7/01,21:00:00,"	28","	17517"
10/7/01,21:15:00,"	24","	1672"
10/7/01,21:15:00,"	26","	8195"
10/7/01,21:15:00,"	28","	17321"
10/7/01,21:30:00,"	24","	1635"
10/7/01,21:30:00,"	26","	8145"
10/7/01,21:30:00,"	28","	17165"
10/7/01,21:45:00,"	24","	1626"
10/7/01,21:45:00,"	26","	8053"
10/7/01,21:45:00,"	28","	16982"
10/7/01,22:00:00,"	24","	1625"
10/7/01,22:00:00,"	26","	7923"
10/7/01,22:00:00,"	28","	16804"
10/7/01,22:15:00,"	24","	1894"
10/7/01,22:15:00,"	26","	7627"
10/7/01,22:15:00,"	28","	16253"
10/7/01,22:30:00,"	24","	1895"
10/7/01,22:30:00,"	26","	7491"
10/7/01,22:30:00,"	28","	16073"
10/7/01,22:45:00,"	24","	1854"
10/7/01,22:45:00,"	26","	7379"
10/7/01,22:45:00,"	28","	15929"
10/7/01,23:00:00,"	24","	1806"
10/7/01,23:00:00,"	26","	7290"
10/7/01,23:00:00,"	28","	15784"
10/7/01,23:15:00,"	24","	1599"
10/7/01,23:15:00,"	26","	6958"
10/7/01,23:15:00,"	28","	15478"
10/7/01,23:30:00,"	24","	1552"
10/7/01,23:30:00,"	26","	6881"
10/7/01,23:30:00,"	28","	15353"
10/7/01,23:45:00,"	24","	1516"
10/7/01,23:45:00,"	26","	6799"
10/7/01,23:45:00,"	28","	15214"
10/8/01,0:00:00,"	24","	1491"
10/8/01,0:00:00,"	26","	6712"
10/8/01,0:00:00,"	28","	15081"
10/8/01,0:15:00,"	24","	1416"
10/8/01,0:15:00,"	26","	6962"
10/8/01,0:15:00,"	28","	15018"
10/8/01,0:30:00,"	24","	1401"
10/8/01,0:30:00,"	26","	7026"
10/8/01,0:30:00,"	28","	14939"
10/8/01,0:45:00,"	24","	1386"
10/8/01,0:45:00,"	26","	7022"
10/8/01,0:45:00,"	28","	14853"
10/8/01,1:00:00,"	24","	1371"
10/8/01,1:00:00,"	26","	6950"
10/8/01,1:00:00,"	28","	14743"
10/8/01,1:15:00,"	24","	1349"
10/8/01,1:15:00,"	26","	6951"
10/8/01,1:15:00,"	28","	14352"
10/8/01,1:30:00,"	24","	1334"
10/8/01,1:30:00,"	26","	6880"
10/8/01,1:30:00,"	28","	14231"
10/8/01,1:45:00,"	24","	1327"
10/8/01,1:45:00,"	26","	6808"
10/8/01,1:45:00,"	28","	14140"
10/8/01,2:00:00,"	24","	1321"
10/8/01,2:00:00,"	26","	6730"
10/8/01,2:00:00,"	28","	14061"
10/8/01,2:15:00,"	24","	1282"
10/8/01,2:15:00,"	26","	6605"
10/8/01,2:15:00,"	28","	13836"
10/8/01,2:30:00,"	24","	1275"
10/8/01,2:30:00,"	26","	6559"
10/8/01,2:30:00,"	28","	13785"
10/8/01,2:45:00,"	24","	1275"
10/8/01,2:45:00,"	26","	6534"
10/8/01,2:45:00,"	28","	13731"
10/8/01,3:00:00,"	24","	1275"
10/8/01,3:00:00,"	26","	6527"
10/8/01,3:00:00,"	28","	13679"
10/8/01,3:15:00,"	24","	1275"
10/8/01,3:15:00,"	26","	6596"
10/8/01,3:15:00,"	28","	13556"
10/8/01,3:30:00,"	24","	1275"
10/8/01,3:30:00,"	26","	6557"
10/8/01,3:30:00,"	28","	13525"
10/8/01,3:45:00,"	24","	1275"
10/8/01,3:45:00,"	26","	6541"
10/8/01,3:45:00,"	28","	13524"
10/8/01,4:00:00,"	24","	1275"
10/8/01,4:00:00,"	26","	6547"
10/8/01,4:00:00,"	28","	13543"
10/8/01,4:15:00,"	24","	1296"
10/8/01,4:15:00,"	26","	6519"
10/8/01,4:15:00,"	28","	13606"
10/8/01,4:30:00,"	24","	1296"
10/8/01,4:30:00,"	26","	6532"
10/8/01,4:30:00,"	28","	13659"
10/8/01,4:45:00,"	24","	1305"
10/8/01,4:45:00,"	26","	6535"
10/8/01,4:45:00,"	28","	13743"
10/8/01,5:00:00,"	24","	1315"
10/8/01,5:00:00,"	26","	6530"
10/8/01,5:00:00,"	28","	13850"
10/8/01,5:15:00,"	24","	1511"
10/8/01,5:15:00,"	26","	6844"
10/8/01,5:15:00,"	28","	14323"
10/8/01,5:30:00,"	24","	1524"
10/8/01,5:30:00,"	26","	6841"
10/8/01,5:30:00,"	28","	14526"
10/8/01,5:45:00,"	24","	1536"
10/8/01,5:45:00,"	26","	6852"
10/8/01,5:45:00,"	28","	14850"
10/8/01,6:00:00,"	24","	1560"
10/8/01,6:00:00,"	26","	6876"
10/8/01,6:00:00,"	28","	15232"
10/8/01,6:15:00,"	24","	2098"
10/8/01,6:15:00,"	26","	7264"
10/8/01,6:15:00,"	28","	16147"
10/8/01,6:30:00,"	24","	2121"
10/8/01,6:30:00,"	26","	7318"
10/8/01,6:30:00,"	28","	16488"
10/8/01,6:45:00,"	24","	2129"
10/8/01,6:45:00,"	26","	7415"
10/8/01,6:45:00,"	28","	16717"
10/8/01,7:00:00,"	24","	2127"
10/8/01,7:00:00,"	26","	7552"
10/8/01,7:00:00,"	28","	16876"
10/8/01,7:15:00,"	24","	2084"
10/8/01,7:15:00,"	26","	7841"
10/8/01,7:15:00,"	28","	17298"
10/8/01,7:30:00,"	24","	2077"
10/8/01,7:30:00,"	26","	7969"
10/8/01,7:30:00,"	28","	17378"
10/8/01,7:45:00,"	24","	2077"
10/8/01,7:45:00,"	26","	8046"
10/8/01,7:45:00,"	28","	17454"
10/8/01,8:00:00,"	24","	2077"
10/8/01,8:00:00,"	26","	8075"
10/8/01,8:00:00,"	28","	17547"
10/8/01,8:15:00,"	24","	2103"
10/8/01,8:15:00,"	26","	7916"
10/8/01,8:15:00,"	28","	17727"
10/8/01,8:30:00,"	24","	2106"
10/8/01,8:30:00,"	26","	7939"
10/8/01,8:30:00,"	28","	17847"
10/8/01,8:45:00,"	24","	2118"
10/8/01,8:45:00,"	26","	7976"
10/8/01,8:45:00,"	28","	17989"
10/8/01,9:00:00,"	24","	2141"
10/8/01,9:00:00,"	26","	8023"
10/8/01,9:00:00,"	28","	18132"
10/8/01,9:15:00,"	24","	2349"
10/8/01,9:15:00,"	26","	8081"
10/8/01,9:15:00,"	28","	18052"
10/8/01,9:30:00,"	24","	2373"
10/8/01,9:30:00,"	26","	8124"
10/8/01,9:30:00,"	28","	18206"
10/8/01,9:45:00,"	24","	2393"
10/8/01,9:45:00,"	26","	8160"
10/8/01,9:45:00,"	28","	18397"
10/8/01,10:00:00,"	24","	2413"
10/8/01,10:00:00,"	26","	8186"
10/8/01,10:00:00,"	28","	18615"
10/8/01,10:15:00,"	24","	2422"
10/8/01,10:15:00,"	26","	8189"
10/8/01,10:15:00,"	28","	19050"
10/8/01,10:30:00,"	24","	2437"
10/8/01,10:30:00,"	26","	8263"
10/8/01,10:30:00,"	28","	19282"
10/8/01,10:45:00,"	24","	2459"
10/8/01,10:45:00,"	26","	8294"
10/8/01,10:45:00,"	28","	19476"
10/8/01,11:00:00,"	24","	2473"
10/8/01,11:00:00,"	26","	8342"
10/8/01,11:00:00,"	28","	19653"
10/8/01,11:15:00,"	24","	2480"
10/8/01,11:15:00,"	26","	8363"
10/8/01,11:15:00,"	28","	19820"
10/8/01,11:30:00,"	24","	2493"
10/8/01,11:30:00,"	26","	8416"
10/8/01,11:30:00,"	28","	19946"
10/8/01,11:45:00,"	24","	2502"
10/8/01,11:45:00,"	26","	8465"
10/8/01,11:45:00,"	28","	20141"
10/8/01,12:00:00,"	24","	2511"
10/8/01,12:00:00,"	26","	8516"
10/8/01,12:00:00,"	28","	20287"
10/8/01,12:15:00,"	24","	2524"
10/8/01,12:15:00,"	26","	8626"
10/8/01,12:15:00,"	28","	20346"
10/8/01,12:30:00,"	24","	2533"
10/8/01,12:30:00,"	26","	8675"
10/8/01,12:30:00,"	28","	20466"
10/8/01,12:45:00,"	24","	2538"
10/8/01,12:45:00,"	26","	8727"
10/8/01,12:45:00,"	28","	20615"
10/8/01,13:00:00,"	24","	2543"
10/8/01,13:00:00,"	26","	8789"
10/8/01,13:00:00,"	28","	20784"
10/8/01,13:15:00,"	24","	2613"
10/8/01,13:15:00,"	26","	8974"
10/8/01,13:15:00,"	28","	20823"
10/8/01,13:30:00,"	24","	2641"
10/8/01,13:30:00,"	26","	8981"
10/8/01,13:30:00,"	28","	20962"
10/8/01,13:45:00,"	24","	2666"
10/8/01,13:45:00,"	26","	9003"
10/8/01,13:45:00,"	28","	21129"
10/8/01,14:00:00,"	24","	2682"
10/8/01,14:00:00,"	26","	9034"
10/8/01,14:00:00,"	28","	21305"
10/8/01,14:15:00,"	24","	2695"
10/8/01,14:15:00,"	26","	9015"
10/8/01,14:15:00,"	28","	21599"
10/8/01,14:30:00,"	24","	2708"
10/8/01,14:30:00,"	26","	9048"
10/8/01,14:30:00,"	28","	21748"
10/8/01,14:45:00,"	24","	2715"
10/8/01,14:45:00,"	26","	9083"
10/8/01,14:45:00,"	28","	21822"
10/8/01,15:00:00,"	24","	2721"
10/8/01,15:00:00,"	26","	9123"
10/8/01,15:00:00,"	28","	21978"
10/8/01,15:15:00,"	24","	2735"
10/8/01,15:15:00,"	26","	9033"
10/8/01,15:15:00,"	28","	22100"
10/8/01,15:30:00,"	24","	2742"
10/8/01,15:30:00,"	26","	8968"
10/8/01,15:30:00,"	28","	22217"
10/8/01,15:45:00,"	24","	2744"
10/8/01,15:45:00,"	26","	8939"
10/8/01,15:45:00,"	28","	22340"
10/8/01,16:00:00,"	24","	2746"
10/8/01,16:00:00,"	26","	8947"
10/8/01,16:00:00,"	28","	22459"
10/8/01,16:15:00,"	24","	2754"
10/8/01,16:15:00,"	26","	8751"
10/8/01,16:15:00,"	28","	22624"
10/8/01,16:30:00,"	24","	2756"
10/8/01,16:30:00,"	26","	8746"
10/8/01,16:30:00,"	28","	22727"
10/8/01,16:45:00,"	24","	2756"
10/8/01,16:45:00,"	26","	8732"
10/8/01,16:45:00,"	28","	22788"
10/8/01,17:00:00,"	24","	2755"
10/8/01,17:00:00,"	26","	8710"
10/8/01,17:00:00,"	28","	22832"
10/8/01,17:15:00,"	24","	2765"
10/8/01,17:15:00,"	26","	8245"
10/8/01,17:15:00,"	28","	22532"
10/8/01,17:30:00,"	24","	2764"
10/8/01,17:30:00,"	26","	8156"
10/8/01,17:30:00,"	28","	22445"
10/8/01,17:45:00,"	24","	2763"
10/8/01,17:45:00,"	26","	8092"
10/8/01,17:45:00,"	28","	22327"
10/8/01,18:00:00,"	24","	2761"
10/8/01,18:00:00,"	26","	8058"
10/8/01,18:00:00,"	28","	22235"
10/8/01,18:15:00,"	24","	2768"
10/8/01,18:15:00,"	26","	7991"
10/8/01,18:15:00,"	28","	22064"
10/8/01,18:30:00,"	24","	2766"
10/8/01,18:30:00,"	26","	7940"
10/8/01,18:30:00,"	28","	21963"
10/8/01,18:45:00,"	24","	2761"
10/8/01,18:45:00,"	26","	7910"
10/8/01,18:45:00,"	28","	21874"
10/8/01,19:00:00,"	24","	2756"
10/8/01,19:00:00,"	26","	7893"
10/8/01,19:00:00,"	28","	21816"
10/8/01,19:15:00,"	24","	2749"
10/8/01,19:15:00,"	26","	8040"
10/8/01,19:15:00,"	28","	21714"
10/8/01,19:30:00,"	24","	2743"
10/8/01,19:30:00,"	26","	8021"
10/8/01,19:30:00,"	28","	21733"
10/8/01,19:45:00,"	24","	2744"
10/8/01,19:45:00,"	26","	7986"
10/8/01,19:45:00,"	28","	21753"
10/8/01,20:00:00,"	24","	2744"
10/8/01,20:00:00,"	26","	7938"
10/8/01,20:00:00,"	28","	21809"
10/8/01,20:15:00,"	24","	2624"
10/8/01,20:15:00,"	26","	8069"
10/8/01,20:15:00,"	28","	21867"
10/8/01,20:30:00,"	24","	2620"
10/8/01,20:30:00,"	26","	8021"
10/8/01,20:30:00,"	28","	21701"
10/8/01,20:45:00,"	24","	2613"
10/8/01,20:45:00,"	26","	7956"
10/8/01,20:45:00,"	28","	21487"
10/8/01,21:00:00,"	24","	2606"
10/8/01,21:00:00,"	26","	7866"
10/8/01,21:00:00,"	28","	21239"
10/8/01,21:15:00,"	24","	2532"
10/8/01,21:15:00,"	26","	7505"
10/8/01,21:15:00,"	28","	20939"
10/8/01,21:30:00,"	24","	2521"
10/8/01,21:30:00,"	26","	7437"
10/8/01,21:30:00,"	28","	20670"
10/8/01,21:45:00,"	24","	2506"
10/8/01,21:45:00,"	26","	7481"
10/8/01,21:45:00,"	28","	20361"
10/8/01,22:00:00,"	24","	2487"
10/8/01,22:00:00,"	26","	7633"
10/8/01,22:00:00,"	28","	20003"
10/8/01,22:15:00,"	24","	2096"
10/8/01,22:15:00,"	26","	7637"
10/8/01,22:15:00,"	28","	19299"
10/8/01,22:30:00,"	24","	2074"
10/8/01,22:30:00,"	26","	7757"
10/8/01,22:30:00,"	28","	18989"
10/8/01,22:45:00,"	24","	2034"
10/8/01,22:45:00,"	26","	7796"
10/8/01,22:45:00,"	28","	18565"
10/8/01,23:00:00,"	24","	1987"
10/8/01,23:00:00,"	26","	7749"
10/8/01,23:00:00,"	28","	18203"
10/8/01,23:15:00,"	24","	1713"
10/8/01,23:15:00,"	26","	7393"
10/8/01,23:15:00,"	28","	17662"
10/8/01,23:30:00,"	24","	1673"
10/8/01,23:30:00,"	26","	7286"
10/8/01,23:30:00,"	28","	17390"
10/8/01,23:45:00,"	24","	1666"
10/8/01,23:45:00,"	26","	7206"
10/8/01,23:45:00,"	28","	17136"
10/9/01,0:00:00,"	24","	1692"
10/9/01,0:00:00,"	26","	7149"
10/9/01,0:00:00,"	28","	16872"
10/9/01,0:15:00,"	24","	1644"
10/9/01,0:15:00,"	26","	6665"
10/9/01,0:15:00,"	28","	16714"
10/9/01,0:30:00,"	24","	1666"
10/9/01,0:30:00,"	26","	6762"
10/9/01,0:30:00,"	28","	16660"
10/9/01,0:45:00,"	24","	1672"
10/9/01,0:45:00,"	26","	6828"
10/9/01,0:45:00,"	28","	16574"
10/9/01,1:00:00,"	24","	1664"
10/9/01,1:00:00,"	26","	6865"
10/9/01,1:00:00,"	28","	16434"
10/9/01,1:15:00,"	24","	1620"
10/9/01,1:15:00,"	26","	6934"
10/9/01,1:15:00,"	28","	15731"
10/9/01,1:30:00,"	24","	1603"
10/9/01,1:30:00,"	26","	6958"
10/9/01,1:30:00,"	28","	15570"
10/9/01,1:45:00,"	24","	1594"
10/9/01,1:45:00,"	26","	6968"
10/9/01,1:45:00,"	28","	15434"
10/9/01,2:00:00,"	24","	1579"
10/9/01,2:00:00,"	26","	6962"
