CPT,"ENDING	",ZONEID,MW
8/1/01,5:15:00,"	26","	9459"
8/1/01,5:15:00,"	28","	20859"
8/1/01,5:30:00,"	24","	3219"
8/1/01,5:30:00,"	26","	9497"
8/1/01,5:30:00,"	28","	21031"
8/1/01,5:45:00,"	24","	3184"
8/1/01,5:45:00,"	26","	9426"
8/1/01,5:45:00,"	28","	21214"
8/1/01,6:00:00,"	24","	3215"
8/1/01,6:00:00,"	26","	9651"
8/1/01,6:00:00,"	28","	21419"
8/1/01,6:15:00,"	24","	2960"
8/1/01,6:15:00,"	26","	9979"
8/1/01,6:15:00,"	28","	23049"
8/1/01,6:30:00,"	24","	2904"
8/1/01,6:30:00,"	26","	9813"
8/1/01,6:30:00,"	28","	23157"
8/1/01,6:45:00,"	24","	2937"
8/1/01,6:45:00,"	26","	9769"
8/1/01,6:45:00,"	28","	23207"
8/1/01,7:00:00,"	24","	2867"
8/1/01,7:00:00,"	26","	9372"
8/1/01,7:00:00,"	28","	23214"
8/1/01,7:15:00,"	24","	3164"
8/1/01,7:15:00,"	26","	10044"
8/1/01,7:15:00,"	28","	23486"
8/1/01,7:30:00,"	24","	3248"
8/1/01,7:30:00,"	26","	10198"
8/1/01,7:30:00,"	28","	23596"
8/1/01,7:45:00,"	24","	3288"
8/1/01,7:45:00,"	26","	10354"
8/1/01,7:45:00,"	28","	23848"
8/1/01,8:00:00,"	24","	3363"
8/1/01,8:00:00,"	26","	10512"
8/1/01,8:00:00,"	28","	24100"
8/1/01,8:15:00,"	24","	3343"
8/1/01,8:15:00,"	26","	10719"
8/1/01,8:15:00,"	28","	24949"
8/1/01,8:30:00,"	24","	3367"
8/1/01,8:30:00,"	26","	10890"
8/1/01,8:30:00,"	28","	25292"
8/1/01,8:45:00,"	24","	3413"
8/1/01,8:45:00,"	26","	11068"
8/1/01,8:45:00,"	28","	25641"
8/1/01,9:00:00,"	24","	3442"
8/1/01,9:00:00,"	26","	11235"
8/1/01,9:00:00,"	28","	25962"
8/1/01,9:15:00,"	24","	3557"
8/1/01,9:15:00,"	26","	11086"
8/1/01,9:15:00,"	28","	26866"
8/1/01,9:30:00,"	24","	3611"
8/1/01,9:30:00,"	26","	11244"
8/1/01,9:30:00,"	28","	27255"
8/1/01,9:45:00,"	24","	3658"
8/1/01,9:45:00,"	26","	11480"
8/1/01,9:45:00,"	28","	27649"
8/1/01,10:00:00,"	24","	3722"
8/1/01,10:00:00,"	26","	11517"
8/1/01,10:00:00,"	28","	28104"
8/1/01,10:15:00,"	24","	3738"
8/1/01,10:15:00,"	26","	11872"
8/1/01,10:15:00,"	28","	29214"
8/1/01,10:30:00,"	24","	3777"
8/1/01,10:30:00,"	26","	12184"
8/1/01,10:30:00,"	28","	29444"
8/1/01,10:45:00,"	24","	3807"
8/1/01,10:45:00,"	26","	12441"
8/1/01,10:45:00,"	28","	29555"
8/1/01,11:00:00,"	24","	3837"
8/1/01,11:00:00,"	26","	12606"
8/1/01,11:00:00,"	28","	29507"
8/1/01,11:15:00,"	24","	3858"
8/1/01,11:15:00,"	26","	12999"
8/1/01,11:15:00,"	28","	30065"
8/1/01,11:30:00,"	24","	3885"
8/1/01,11:30:00,"	26","	13241"
8/1/01,11:30:00,"	28","	30136"
8/1/01,11:45:00,"	24","	3915"
8/1/01,11:45:00,"	26","	13488"
8/1/01,11:45:00,"	28","	30279"
8/1/01,12:00:00,"	24","	3957"
8/1/01,12:00:00,"	26","	13709"
8/1/01,12:00:00,"	28","	30553"
8/1/01,12:15:00,"	24","	3951"
8/1/01,12:15:00,"	26","	13918"
8/1/01,12:15:00,"	28","	30818"
8/1/01,12:30:00,"	24","	3982"
8/1/01,12:30:00,"	26","	14124"
8/1/01,12:30:00,"	28","	31056"
8/1/01,12:45:00,"	24","	4037"
8/1/01,12:45:00,"	26","	14321"
8/1/01,12:45:00,"	28","	31270"
8/1/01,13:00:00,"	24","	4041"
8/1/01,13:00:00,"	26","	14544"
8/1/01,13:00:00,"	28","	31409"
8/1/01,13:15:00,"	24","	4220"
8/1/01,13:15:00,"	26","	14502"
8/1/01,13:15:00,"	28","	31974"
8/1/01,13:30:00,"	24","	4294"
8/1/01,13:30:00,"	26","	14646"
8/1/01,13:30:00,"	28","	32167"
8/1/01,13:45:00,"	24","	4347"
8/1/01,13:45:00,"	26","	14803"
8/1/01,13:45:00,"	28","	32364"
8/1/01,14:00:00,"	24","	4453"
8/1/01,14:00:00,"	26","	14906"
8/1/01,14:00:00,"	28","	32605"
8/1/01,14:15:00,"	24","	4409"
8/1/01,14:15:00,"	26","	15216"
8/1/01,14:15:00,"	28","	32791"
8/1/01,14:30:00,"	24","	4467"
8/1/01,14:30:00,"	26","	15485"
8/1/01,14:30:00,"	28","	32982"
8/1/01,14:45:00,"	24","	4536"
8/1/01,14:45:00,"	26","	15661"
8/1/01,14:45:00,"	28","	33144"
8/1/01,15:00:00,"	24","	4567"
8/1/01,15:00:00,"	26","	16055"
8/1/01,15:00:00,"	28","	33290"
8/1/01,15:15:00,"	24","	4738"
8/1/01,15:15:00,"	26","	15765"
8/1/01,15:15:00,"	28","	33451"
8/1/01,15:30:00,"	24","	4821"
8/1/01,15:30:00,"	26","	15794"
8/1/01,15:30:00,"	28","	33534"
8/1/01,15:45:00,"	24","	4878"
8/1/01,15:45:00,"	26","	15814"
8/1/01,15:45:00,"	28","	33598"
8/1/01,16:00:00,"	24","	4982"
8/1/01,16:00:00,"	26","	15847"
8/1/01,16:00:00,"	28","	33661"
8/1/01,16:15:00,"	24","	4956"
8/1/01,16:15:00,"	26","	15873"
8/1/01,16:15:00,"	28","	34098"
8/1/01,16:30:00,"	24","	4983"
8/1/01,16:30:00,"	26","	15882"
8/1/01,16:30:00,"	28","	34073"
8/1/01,16:45:00,"	24","	4987"
8/1/01,16:45:00,"	26","	15905"
8/1/01,16:45:00,"	28","	34018"
8/1/01,17:00:00,"	24","	5034"
8/1/01,17:00:00,"	26","	15900"
8/1/01,17:00:00,"	28","	33954"
8/1/01,17:15:00,"	24","	4967"
8/1/01,17:15:00,"	26","	15990"
8/1/01,17:15:00,"	28","	33931"
8/1/01,17:30:00,"	24","	4943"
8/1/01,17:30:00,"	26","	15994"
8/1/01,17:30:00,"	28","	33826"
8/1/01,17:45:00,"	24","	4894"
8/1/01,17:45:00,"	26","	15991"
8/1/01,17:45:00,"	28","	33682"
8/1/01,18:00:00,"	24","	4888"
8/1/01,18:00:00,"	26","	16003"
8/1/01,18:00:00,"	28","	33526"
8/1/01,18:15:00,"	24","	4262"
8/1/01,18:15:00,"	26","	15973"
8/1/01,18:15:00,"	28","	33329"
8/1/01,18:30:00,"	24","	4188"
8/1/01,18:30:00,"	26","	15946"
8/1/01,18:30:00,"	28","	33111"
8/1/01,18:45:00,"	24","	4101"
8/1/01,18:45:00,"	26","	15872"
8/1/01,18:45:00,"	28","	32877"
8/1/01,19:00:00,"	24","	4023"
8/1/01,19:00:00,"	26","	15878"
8/1/01,19:00:00,"	28","	32637"
8/1/01,19:15:00,"	24","	3890"
8/1/01,19:15:00,"	26","	16039"
8/1/01,19:15:00,"	28","	31893"
8/1/01,19:30:00,"	24","	3805"
8/1/01,19:30:00,"	26","	15928"
8/1/01,19:30:00,"	28","	31725"
8/1/01,19:45:00,"	24","	3756"
8/1/01,19:45:00,"	26","	15776"
8/1/01,19:45:00,"	28","	31629"
8/1/01,20:00:00,"	24","	3652"
8/1/01,20:00:00,"	26","	15745"
8/1/01,20:00:00,"	28","	31584"
8/1/01,20:15:00,"	24","	3759"
8/1/01,20:15:00,"	26","	15333"
8/1/01,20:15:00,"	28","	31581"
8/1/01,20:30:00,"	24","	3742"
8/1/01,20:30:00,"	26","	15054"
8/1/01,20:30:00,"	28","	31500"
8/1/01,20:45:00,"	24","	3736"
8/1/01,20:45:00,"	26","	14835"
8/1/01,20:45:00,"	28","	31408"
8/1/01,21:00:00,"	24","	3740"
8/1/01,21:00:00,"	26","	14503"
8/1/01,21:00:00,"	28","	31239"
8/1/01,21:15:00,"	24","	3684"
8/1/01,21:15:00,"	26","	14474"
8/1/01,21:15:00,"	28","	31047"
8/1/01,21:30:00,"	24","	3678"
8/1/01,21:30:00,"	26","	14322"
8/1/01,21:30:00,"	28","	30875"
8/1/01,21:45:00,"	24","	3704"
8/1/01,21:45:00,"	26","	14282"
8/1/01,21:45:00,"	28","	30605"
8/1/01,22:00:00,"	24","	3688"
