Delivery Date,Hour Ending,Repeated Hour Flag,REGDN,REGUP,RRS,NSPIN
12/11/2010,1:00,N,8.49,10.71,10,2.81
12/11/2010,2:00,N,9.14,6.33,6.33,2.79
12/11/2010,3:00,N,7,7,7,2.79
12/11/2010,4:00,N,7.11,6.06,6.06,2.79
12/11/2010,5:00,N,7,6.33,6.33,2.78
12/11/2010,6:00,N,16.53,18,15.25,2.73
12/11/2010,7:00,N,4.63,20.59,18.09,2.64
12/11/2010,8:00,N,7,15,15,2.59
12/11/2010,9:00,N,4.5,15,15,2.6
12/11/2010,10:00,N,4.85,14.07,14.07,2.57
12/11/2010,11:00,N,4.02,12.72,12.73,2.66
12/11/2010,12:00,N,5.71,9.26,9.26,2.7
12/11/2010,13:00,N,4.5,6.3,6.75,2.75
12/11/2010,14:00,N,4.88,5,5.87,2.79
12/11/2010,15:00,N,3.68,5.86,6.15,2.83
12/11/2010,16:00,N,4.28,6.75,6.75,2.8
12/11/2010,17:00,N,4.25,8.75,8.75,4.03
12/11/2010,18:00,N,4.5,13.75,13.75,4.09
12/11/2010,19:00,N,7.5,26,25,5.21
12/11/2010,20:00,N,9,18.14,17.14,4.59
12/11/2010,21:00,N,4.45,10.74,10.74,4
12/11/2010,22:00,N,6.26,10,10,3.34
12/11/2010,23:00,N,8.11,15.21,14.21,2.56
12/11/2010,24:00:00,N,7.5,14.37,14.37,2.56
12/12/2010,1:00,N,7.11,10,10,2.73
12/12/2010,2:00,N,7,5.21,5.21,2.7
12/12/2010,3:00,N,4.68,5.25,5.25,2.71
12/12/2010,4:00,N,5,5.28,5.28,2.7
12/12/2010,5:00,N,4.2,5.34,5.34,2.69
12/12/2010,6:00,N,7.5,19.99,19.99,2.63
12/12/2010,7:00,N,4.2,21,20,2.55
12/12/2010,8:00,N,4.75,20.84,20.84,2.51
12/12/2010,9:00,N,4.2,24.43,24.43,2.5
12/12/2010,10:00,N,4.45,21.77,21.77,2.48
12/12/2010,11:00,N,3,17.02,17.02,2.54
12/12/2010,12:00,N,4.6,10.75,10.75,2.59
12/12/2010,13:00,N,3,7.96,7.96,2.64
12/12/2010,14:00,N,4.75,6.33,6.33,2.69
12/12/2010,15:00,N,3.61,6.29,6.29,2.72
12/12/2010,16:00,N,3.56,7.53,7.53,2.74
12/12/2010,17:00,N,4.25,9.58,9.58,4.24
12/12/2010,18:00,N,4.06,18.12,18.09,5.21
12/12/2010,19:00,N,5.44,26.47,26.02,8.4
12/12/2010,20:00,N,6.75,19.87,19.87,8
12/12/2010,21:00,N,3,16.24,16.23,8
12/12/2010,22:00,N,4.3,13.15,13.15,5.11
12/12/2010,23:00,N,7.11,12,12,2.48
12/12/2010,24:00:00,N,5.55,12.48,12.48,2.47
12/13/2010,1:00,N,5,7.97,7.97,2.71
12/13/2010,2:00,N,4.75,4.75,4.75,2.75
12/13/2010,3:00,N,3,5,5,2.71
12/13/2010,4:00,N,3,6.75,6.75,2.71
12/13/2010,5:00,N,3,10.75,10.75,2.63
12/13/2010,6:00,N,5.75,15.55,15.55,2.46
12/13/2010,7:00,N,3,36,35,1.98
12/13/2010,8:00,N,4.5,28.66,28.66,1.95
12/13/2010,9:00,N,4,18.36,18.36,2.24
12/13/2010,10:00,N,4.26,13.93,13.93,2.35
12/13/2010,11:00,N,3,10,10,2.52
12/13/2010,12:00,N,3,10.75,10.75,2.64
12/13/2010,13:00,N,3,9.47,10,2.76
12/13/2010,14:00,N,4.5,5.35,5.95,2.82
12/13/2010,15:00,N,3,5.59,6.15,2.83
12/13/2010,16:00,N,3,7.5,7.5,2.84
12/13/2010,17:00,N,4,9.56,9.56,2.79
12/13/2010,18:00,N,4.42,20.77,20.77,5.21
12/13/2010,19:00,N,5.75,32.72,32.72,11.02
12/13/2010,20:00,N,7,18.94,18.94,5.21
12/13/2010,21:00,N,3,15,15,5.11
12/13/2010,22:00,N,3.47,11.39,11.39,3.34
12/13/2010,23:00,N,5.44,9.83,9.83,2.58
12/13/2010,24:00:00,N,4.45,9.37,9.37,2.57
12/14/2010,1:00,N,6,9.95,9.95,2.64
12/14/2010,2:00,N,6.62,8,8,2.74
12/14/2010,3:00,N,4.92,5.88,5.88,2.75
12/14/2010,4:00,N,4.66,5.43,5.43,2.75
12/14/2010,5:00,N,3.52,6.84,6.84,2.7
12/14/2010,6:00,N,6.02,13.98,13.98,2.58
12/14/2010,7:00,N,4.5,33.53,33.17,2.16
12/14/2010,8:00,N,5.82,30.22,30.22,2.12
12/14/2010,9:00,N,4.5,18.9,18.9,2.27
12/14/2010,10:00,N,5.91,13.75,13.75,2.43
12/14/2010,11:00,N,5.75,11.38,11.38,2.79
12/14/2010,12:00,N,4.53,8.1,9,3.9
12/14/2010,13:00,N,4.5,7,7,3.9
12/14/2010,14:00,N,5,5,5.84,3.84
12/14/2010,15:00,N,4.48,5.7,5.7,3.59
12/14/2010,16:00,N,4.4,7.48,7.48,3.54
12/14/2010,17:00,N,5.31,9.53,9.53,4.05
12/14/2010,18:00,N,7.65,20.93,20.93,5
12/14/2010,19:00,N,9,31.04,31.04,5.21
12/14/2010,20:00,N,9,23.52,23.52,5
12/14/2010,21:00,N,4.45,17.27,17.27,4.51
12/14/2010,22:00,N,5.58,10.75,10.75,3.35
12/14/2010,23:00,N,7.75,14.94,14.94,2.83
12/14/2010,24:00:00,N,13.11,11.95,13,2.76
12/15/2010,1:00,N,10.4,8.48,8.48,2.81
12/15/2010,2:00,N,10.13,6,6,2.83
12/15/2010,3:00,N,7,5,5,2.79
12/15/2010,4:00,N,7,5,5,2.78
12/15/2010,5:00,N,7,5.24,5.24,2.68
12/15/2010,6:00,N,9.22,12.7,12.7,2.65
12/15/2010,7:00,N,4,23.89,22.89,2.5
12/15/2010,8:00,N,5.39,19.92,19.92,2.4
12/15/2010,9:00,N,5,11.2,11.2,2.47
12/15/2010,10:00,N,5.25,8.98,9.68,2.37
12/15/2010,11:00,N,4.5,7.39,7.54,3.9
12/15/2010,12:00,N,4.53,5.34,5.69,3.69
12/15/2010,13:00,N,4.5,5.36,5.36,3.36
12/15/2010,14:00,N,5,4.81,5.05,3.05
12/15/2010,15:00,N,4.44,5.02,5.05,3.05
12/15/2010,16:00,N,4.53,7,7,3.88
12/15/2010,17:00,N,4.5,7.26,7.26,4.05
12/15/2010,18:00,N,4.51,17.36,17.36,4.1
12/15/2010,19:00,N,7.08,30,30,5.21
12/15/2010,20:00,N,7.11,17.88,17.88,4.4
12/15/2010,21:00,N,5.14,8.33,8.33,4.2
12/15/2010,22:00,N,7.11,7.63,7.63,3.15
12/15/2010,23:00,N,9.9,10,10,2.74
12/15/2010,24:00:00,N,10,7.57,7.57,2.77
12/16/2010,1:00,N,8.89,6,6,2.7
12/16/2010,2:00,N,9.23,6,6,2.71
12/16/2010,3:00,N,6,5,5,2.69
12/16/2010,4:00,N,6,5,5,2.68
12/16/2010,5:00,N,7,5,5,2.61
12/16/2010,6:00,N,7.11,11,10,2.43
12/16/2010,7:00,N,2.5,20.93,12.94,2.28
12/16/2010,8:00,N,4,12.25,11.25,2.22
12/16/2010,9:00,N,3,8.51,7.51,2.38
12/16/2010,10:00,N,3,7.17,7.17,2.33
12/16/2010,11:00,N,3,5.59,5.59,3.75
12/16/2010,12:00,N,4.5,5.25,5.25,3.95
12/16/2010,13:00,N,3,5.25,5.25,3.95
12/16/2010,14:00,N,3.56,4.7,5,3.95
12/16/2010,15:00,N,2.5,5.25,5.25,3.33
12/16/2010,16:00,N,3,5.25,5.25,3.25
12/16/2010,17:00,N,3.53,5.95,5.25,3.25
12/16/2010,18:00,N,3,21.61,17.13,5.11
12/16/2010,19:00,N,4,31.83,24.25,5.21
12/16/2010,20:00,N,4,20.23,16.79,5.21
12/16/2010,21:00,N,2.5,10.17,7.07,5.11
12/16/2010,22:00,N,3,5.58,5.58,3
12/16/2010,23:00,N,5.15,6.94,5.94,2.5
12/16/2010,24:00:00,N,5.39,6.28,6.28,2.57
12/17/2010,1:00,N,5.96,5,5,2.6
12/17/2010,2:00,N,5.02,4.61,4.61,2.61
12/17/2010,3:00,N,4.53,4.6,4.6,2.6
12/17/2010,4:00,N,4.73,4.61,4.61,2.58
12/17/2010,5:00,N,3,4.97,4.97,2.52
12/17/2010,6:00,N,5.73,8.2,7.26,2.4
12/17/2010,7:00,N,2.62,35,24.19,2
12/17/2010,8:00,N,4,28.9,24.55,1.92
12/17/2010,9:00,N,3,18.67,17.19,2.18
12/17/2010,10:00,N,3,10.38,10,2.29
12/17/2010,11:00,N,2.66,6.3,6.3,3.75
12/17/2010,12:00,N,3,5.75,5.75,3.75
12/17/2010,13:00,N,2.53,5.75,5.75,3.75
12/17/2010,14:00,N,4.07,4.67,4.94,2.94
12/17/2010,15:00,N,3,5.58,5.58,3.09
12/17/2010,16:00,N,3,5.61,5.61,2.97
12/17/2010,17:00,N,3,7,6,3.9
12/17/2010,18:00,N,4,20.77,17.76,8.69
12/17/2010,19:00,N,4.52,29.08,26.52,11.02
12/17/2010,20:00,N,5.96,13.56,12.94,6.07
12/17/2010,21:00,N,2.5,8.37,8.37,5.11
12/17/2010,22:00,N,3,6.02,6.02,3
12/17/2010,23:00,N,6.25,9.65,8.65,2.49
12/17/2010,24:00:00,N,4.68,8.43,8.42,2.35
12/18/2010,1:00,N,5,4.78,4.78,2.53
12/18/2010,2:00,N,4.99,4.5,4.5,2.56
12/18/2010,3:00,N,3.5,4.49,4.49,2.49
12/18/2010,4:00,N,3.5,4.48,4.48,2.48
12/18/2010,5:00,N,3,4.5,4.5,2.47
12/18/2010,6:00,N,5.88,6.25,5.75,2.39
12/18/2010,7:00,N,3,21.71,12.7,2.34
12/18/2010,8:00,N,4.75,20.98,18.69,2.5
12/18/2010,9:00,N,4,24.9,20.9,2.5
12/18/2010,10:00,N,4.85,17.52,14.23,2.12
12/18/2010,11:00,N,3.12,10.08,10.08,5.11
12/18/2010,12:00,N,3.49,7,7,5
12/18/2010,13:00,N,3,5.75,5.75,3.75
12/18/2010,14:00,N,4.75,4.49,4.49,3.75
12/18/2010,15:00,N,3.29,4.49,4.49,3.75
12/18/2010,16:00,N,3.1,4.49,4.49,3.75
12/18/2010,17:00,N,4.25,5.75,5.75,3.9
12/18/2010,18:00,N,4,12.09,11.09,6.74
12/18/2010,19:00,N,7.11,24.46,20.2,12.01
12/18/2010,20:00,N,7,17.42,16.65,6.22
12/18/2010,21:00,N,3,8.02,8.02,5.47
12/18/2010,22:00,N,3.75,5.75,5.75,5.21
12/18/2010,23:00,N,7.11,10.74,8.78,3.07
12/18/2010,24:00:00,N,4.37,6.94,6.93,3
12/19/2010,1:00,N,5,5,5,2.54
12/19/2010,2:00,N,4.99,4.49,4.49,2.64
12/19/2010,3:00,N,4.88,4.49,4.49,2.65
12/19/2010,4:00,N,4.44,4.49,4.49,2.63
12/19/2010,5:00,N,3.6,4.63,4.63,2.63
12/19/2010,6:00,N,8.63,6.11,5.75,3.16
12/19/2010,7:00,N,4,12.44,7.61,2.5
12/19/2010,8:00,N,4.99,10.11,10.11,3.9
12/19/2010,9:00,N,4,10.11,10.11,3.9
12/19/2010,10:00,N,4.46,6.11,5.75,2.32
12/19/2010,11:00,N,3,6.11,6.11,5.11
12/19/2010,12:00,N,3.87,5.75,5.75,3.95
12/19/2010,13:00,N,3.23,5,5,3.95
12/19/2010,14:00,N,4.75,4.3,4.49,3.95
12/19/2010,15:00,N,3.46,4.61,4.61,3.95
12/19/2010,16:00,N,4.11,4.49,4.49,3.95
12/19/2010,17:00,N,4.29,5.49,5.49,4.1
12/19/2010,18:00,N,4,12.22,9.11,8.11
12/19/2010,19:00,N,6.11,21,16.43,13.61
12/19/2010,20:00,N,6.58,12.11,9.79,8.11
12/19/2010,21:00,N,3,9.11,9.11,8.11
12/19/2010,22:00,N,4.31,6.33,6.33,5.33
12/19/2010,23:00,N,10,10,9,3.07
12/19/2010,24:00:00,N,5.59,6.11,5.11,3
12/20/2010,1:00,N,7.68,5,5,2.75
12/20/2010,2:00,N,7.22,5,5,2.76
12/20/2010,3:00,N,6.49,5,5,2.76
12/20/2010,4:00,N,6.49,5,5,2.76
12/20/2010,5:00,N,5.94,5,5,2.71
12/20/2010,6:00,N,8.49,11.41,8.48,2.42
12/20/2010,7:00,N,3,22.97,13.7,3.9
12/20/2010,8:00,N,6.03,19.21,18.21,3.9
12/20/2010,9:00,N,3.47,14.09,13.09,2.5
12/20/2010,10:00,N,4.89,9.54,9.54,2.53
12/20/2010,11:00,N,3,6.23,6.23,5
12/20/2010,12:00,N,3.97,5.75,5.75,4.51
12/20/2010,13:00,N,4.5,5,5,3.75
12/20/2010,14:00,N,5,4.49,5,3.75
12/20/2010,15:00,N,3.95,5,5,3.95
12/20/2010,16:00,N,3.91,5.75,5.75,3.95
12/20/2010,17:00,N,3.57,6.24,6.1,4.1
12/20/2010,18:00,N,4.5,17.24,13.16,6.88
12/20/2010,19:00,N,7.65,31.78,26.48,12.35
12/20/2010,20:00,N,7.37,14.19,13.19,6.24
12/20/2010,21:00,N,3,9.43,9.43,5.67
12/20/2010,22:00,N,4.5,7.31,7.31,5.31
12/20/2010,23:00,N,10,11,10,3
12/20/2010,24:00:00,N,7.11,10,10,2.68
12/21/2010,1:00,N,10,7,7,2.93
12/21/2010,2:00,N,8.92,5,5,2.88
12/21/2010,3:00,N,7,5.37,5.37,2.86
12/21/2010,4:00,N,7,5,5,2.84
12/21/2010,5:00,N,6,5,5,2.84
12/21/2010,6:00,N,10,9.61,8,2.77
12/21/2010,7:00,N,4,16.22,12.72,2.65
12/21/2010,8:00,N,6,13.07,13.07,2.68
12/21/2010,9:00,N,4,11.41,11.41,2.53
12/21/2010,10:00,N,4.98,8,8,2.51
12/21/2010,11:00,N,3,5.59,6.64,4.64
12/21/2010,12:00,N,4,5.45,7.26,5.11
12/21/2010,13:00,N,3,6.3,6.3,5.11
12/21/2010,14:00,N,4.71,4.88,6,5.11
12/21/2010,15:00,N,3,5.58,6.14,5.11
12/21/2010,16:00,N,3,7.48,7.48,5.11
12/21/2010,17:00,N,3.98,8.47,7.6,5.11
12/21/2010,18:00,N,4.5,18.49,17.01,5.31
12/21/2010,19:00,N,8.47,34.19,25.47,11.22
12/21/2010,20:00,N,7.37,15.3,14.3,5.23
12/21/2010,21:00,N,3,6.69,6.69,5.11
12/21/2010,22:00,N,4.2,5.4,5.4,4.18
12/21/2010,23:00,N,7.11,7.03,6.03,2.87
12/21/2010,24:00:00,N,5.47,7.61,7.61,2.8
12/22/2010,1:00,N,7.56,8.61,7.98,2.89
12/22/2010,2:00,N,7.14,7,7,2.87
12/22/2010,3:00,N,6,7,7,2.88
12/22/2010,4:00,N,7.11,7,7,2.88
12/22/2010,5:00,N,6,7,7,2.85
12/22/2010,6:00,N,9.47,6.8,5.8,2.74
12/22/2010,7:00,N,3,14.61,10,2.47
12/22/2010,8:00,N,4,12.24,10,2.53
