area-code,day,hour,% difference
0,15,18,0.08369979
0,15,18,0.01506447
0,15,19,0.03385183
0,15,19,0.09955223
0,15,20,0.03643815
0,15,20,0.02817732
0,15,21,0.06079839
0,15,21,0.02822416
0,15,22,0.00397181
0,15,22,0.01760935
0,15,23,0.0608538
0,15,23,0.03131816
0,16,0,0.05085726
0,16,0,0.12655047
0,16,1,0.08806882
0,16,1,0.05586367
0,16,2,0.1665175
0,16,2,0.0034419
0,16,3,0.04515983
0,16,3,0.07890202
0,16,4,0.03243469
0,16,4,0.14298442
0,16,5,0.12344529
0,16,5,0.14779096
0,16,6,0.21793936
0,16,6,0.1729135
0,16,7,0.27451726
0,16,7,0.13496516
0,16,8,0.225523
0,16,8,0.12868713
0,16,9,0.26183769
0,16,9,0.10397884
0,16,10,0.27241367
0,16,10,0.06843933
0,16,11,0.27348939
0,16,11,0.08542066
0,16,12,0.29624121
0,16,12,0.10431453
0,16,13,0.32486158
0,16,13,0.13348453
0,16,14,0.34175631
0,16,14,0.15307354
0,16,15,0.37192674
0,16,15,0.10279393
0,16,16,0.42026998
0,16,16,0.1278199
0,16,17,0.41574603
0,16,17,0.14308408
0,16,18,0.45070082
0,16,18,0.15919553
0,16,19,0.42907147
0,16,19,0.22425514
0,16,20,0.43165632
0,16,20,0.2190028
0,16,21,0.42578262
0,16,21,0.24091444
0,16,22,0.38853614
0,16,22,0.2327454
0,16,23,0.42922872
0,16,23,0.2428504
0,17,0,0.44944872
0,17,0,0.21715051
0,17,1,0.42027054
0,17,1,0.16897928
0,17,2,0.40161845
0,17,2,0.16653674
0,17,3,0.4200952
0,17,3,0.18332137
0,17,4,0.43435679
0,17,4,0.10520651
0,17,5,0.45523415
0,17,5,0.12474055
0,17,6,0.21915183
0,17,6,0.06704839
0,17,7,0.1605668
0,17,7,0.09207284
0,17,8,0.10425976
0,17,8,0.07147537
0,17,9,0.08810494
0,17,9,0.10671193
0,17,10,0.11677984
0,17,10,0.02539574
0,17,11,0.05530853
0,17,11,0.09235564
0,17,12,0.07746878
0,17,12,0.11598791
0,17,13,0.20493943
0,17,13,0.17598159
0,17,14,0.1897257
0,17,14,0.14045633
0,17,15,0.14382787
0,17,15,0.11991806
0,17,16,0.13191406
0,17,16,0.09043638
0,17,17,0.09093117
0,17,17,0.06032101
0,17,18,0.04525608
0,17,18,0.04153288
0,17,19,0.0583592
0,17,19,0.05948545
0,17,20,0.02362415
0,17,20,0.00130549
0,17,21,0.05142079
0,17,21,0.0036439
0,17,22,0.02335813
0,17,22,0.04194977
0,17,23,0.17093483
0,17,23,0.06462053
0,18,0,0.0892935
0,18,0,0.03939653
0,18,1,0.14185031
0,18,1,0.01204656
0,18,2,0.13893489
0,18,2,0.01407975
0,18,3,0.13407308
0,18,3,0.0975323
0,18,4,0.16030419
0,18,4,0.05556662
0,18,5,0.13063349
0,18,5,0.04247071
0,18,6,0.03196235
0,18,6,0.01027755
0,18,7,0.03482065
0,18,7,0.0277567
0,18,8,0.0114099
0,18,8,0.04621509
0,18,9,0.070818
0,18,9,0.02049114
0,18,10,0.06293092
0,18,10,0.02012305
0,18,11,0.13322287
0,18,11,0.07932784
0,18,12,0.22859855
0,18,12,0.15658779
0,18,13,0.13225325
0,18,13,0.13634493
0,18,14,0.11012936
0,18,14,0.11018356
0,18,15,0.03883103
0,18,15,0.06728194
0,18,16,0.06449592
0,18,16,0.14945923
0,18,17,0.01033026
0,18,17,0.07853445
0,18,18,0.02609558
0,18,18,0.0809501
0,18,19,0.04515377
0,18,19,0.04265664
0,18,20,0.0387441
0,18,20,0.01932311
0,18,21,0.02085228
0,18,21,0.03532492
0,18,22,0.00673983
0,18,22,0.20360431
0,18,23,0.06773877
0,18,23,0.00221898
0,19,0,0.03448532
0,19,0,0.09929553
0,19,1,0.03895073
0,19,1,0.09127587
0,19,2,0.02037792
0,19,2,0.17830828
0,19,3,0.07940078
0,19,3,0.25673191
0,19,4,0.11749608
0,19,4,0.16486068
0,19,5,0.10335852
0,19,5,0.15669739
0,19,6,0.18266298
0,19,6,0.13327076
0,19,7,0.29810269
0,19,7,0.18138727
0,19,8,0.2159758
0,19,8,0.10940731
0,19,9,0.32545605
0,19,9,0.21418841
0,19,10,0.16239447
0,19,10,0.1561421
0,19,11,0.16622168
0,19,11,0.13500169
0,19,12,0.09699456
0,19,12,0.09095489
0,19,13,0.06186823
0,19,13,0.06116394
0,19,14,0.11405175
0,19,14,0.03015088
0,19,15,0.02421957
0,19,15,0.01300998
0,19,16,0.04996004
0,19,16,0.01090906
0,19,17,0.00353743
0,19,17,0.04298933
0,19,18,0.00865093
0,19,18,0.00953117
0,19,19,0.12149421
0,19,19,0.12138901
0,19,20,0.10872636
0,19,20,0.07302275
0,19,21,0.15637299
0,19,21,0.18818407
0,19,22,0.13498177
0,19,22,0.22672437
0,19,23,0.2434992
0,19,23,0.17549266
0,20,0,0.26880938
0,20,0,0.26244059
0,20,1,0.19371289
0,20,1,0.25652869
0,20,2,0.26870214
0,20,2,0.33339673
0,20,3,0.2906759
0,20,3,0.34241595
0,20,4,0.46114367
0,20,4,0.19799149
0,20,5,0.31042707
0,20,5,0.30337752
0,20,6,0.25795871
0,20,6,0.00581297
0,20,7,0.39941393
0,20,7,0.12956436
0,20,8,0.43305284
0,20,8,0.07106115
0,20,9,0.3624605
0,20,9,0.05061676
