day,hour,% difference
11,20,0.016459672
11,21,0.051630706
11,21,0.022792787
11,22,0.062589999
11,22,0.036758307
11,23,0.03587469
11,23,0.011222456
12,0,0.009592105
12,0,0.022227012
12,1,0.039474148
12,1,0.054478108
12,2,0.060509639
12,2,0.072771881
12,3,0.095087221
12,3,0.096589605
12,4,0.102559014
12,4,0.11842393
12,5,0.115896209
12,5,0.112322716
12,6,0.080137632
12,6,0.120225668
12,7,0.136581255
12,7,0.13726963
12,8,0.137814138
12,8,0.110437755
12,9,0.14804897
12,9,0.081780833
12,10,0.172276677
12,10,0.067193353
12,11,0.22099585
12,11,0.089312179
12,12,0.249994542
12,12,0.137064424
12,13,0.240139121
12,13,0.13509634
12,14,0.235489838
12,14,0.133159643
12,15,0.22725714
12,15,0.147534099
12,16,0.215332332
12,16,0.166375349
12,17,0.194612614
12,17,0.150629431
12,18,0.162629848
12,18,0.134888378
12,19,0.118183287
12,19,0.116699124
12,20,0.099096141
12,20,0.08815582
12,21,0.075093772
12,21,0.05840882
12,22,0.061237779
12,22,0.02754287
12,23,0.070197857
12,23,0.067772158
13,0,0.073698112
13,0,0.100314244
13,1,0.124678761
13,1,0.111925072
13,2,0.122633227
13,2,0.122783976
13,3,0.115613375
13,3,0.103402399
13,4,0.15178833
13,4,0.103914281
13,5,0.150982289
13,5,0.095198551
13,6,0.140440659
13,6,0.004832942
13,7,0.134201041
13,7,0.037426737
13,8,0.114936274
13,8,0.035415195
13,9,0.089339085
13,9,0.098815749
13,10,0.06816888
13,10,0.095769786
13,11,0.071633527
13,11,0.105130903
13,12,0.125055907
13,12,0.07552691
13,13,0.129270367
13,13,0.029155018
13,14,0.130161645
13,14,0.014603778
13,15,0.097104889
13,15,0.009771956
13,16,0.122473501
13,16,0.000156726
13,17,0.095845475
13,17,0.009780193
13,18,0.084721167
13,18,0.004929341
13,19,0.068728614
13,19,0.046600415
13,20,0.014719793
13,20,0.067299884
13,21,0.104431231
13,21,0.103941878
13,22,0.085812989
13,22,0.140716944
13,23,0.046809813
13,23,0.090054825
14,0,0.052777617
14,0,0.052084607
14,1,0.092333373
14,1,0.071482715
14,2,0.051310456
14,2,0.048839547
14,3,0.023772546
14,3,0.036581155
14,4,0.065646025
14,4,0.021769678
14,5,0.158087452
14,5,0.028642584
14,6,0.025924994
14,6,0.020444747
14,7,0.037068738
14,7,0.029727757
14,8,0.018324134
14,8,0.052211873
14,9,0.043362133
14,9,0.032876767
14,10,0.04471302
14,10,0.083780877
14,11,0.049407571
14,11,0.057243611
14,12,0.086373909
14,12,0.110720306
14,13,0.048033477
14,13,0.063289751
14,14,0.008267795
14,14,0.001421781
14,15,0.028494859
14,15,0.022941029
14,16,0.01918449
14,16,0.052445882
14,17,0.03014713
14,17,0.022156778
14,18,0.026080288
14,18,0.045011475
14,19,0.000730912
14,19,0.057844331
14,20,0.080243332
14,20,0.098194542
14,21,0.104233922
14,21,0.103133253
14,22,0.112328281
14,22,0.101512464
14,23,0.073033659
14,23,0.062143512
15,0,0.055108338
15,0,0.003892802
15,1,0.028002122
15,1,0.029319419
15,2,0.03379117
15,2,0.008405048
15,3,0.008363557
15,3,0.009919467
15,4,0.012740591
15,4,0.033922363
