name,plant_id,Plant Code,Generator ID,Energy Source 1,match
Nichols,3484,3484,3,Natural Gas,True
Plant,3485,3485,1,Natural Gas,True
Plant,3485,3485,2,Natural Gas,True
Plant,3485,3485,3,Natural Gas,True
Plant,3485,3485,4,Natural Gas,True
Graham,3490,3490,1,Natural Gas,True
Graham,3490,3490,2,Natural Gas,True
Handley,3491,3491,3,Natural Gas,True
Handley,3491,3491,4,Natural Gas,True
Handley,3491,3491,5,Natural Gas,True
Morgan,3492,3492,CT1,Natural Gas,True
Morgan,3492,3492,CT2,Natural Gas,True
Morgan,3492,3492,CT3,Natural Gas,True
Morgan,3492,3492,CT4,Natural Gas,True
Morgan,3492,3492,CT5,Natural Gas,True
Morgan,3492,3492,CT6,Natural Gas,True
Permian,3494,3494,CT1,Natural Gas,True
Permian,3494,3494,CT2,Natural Gas,True
Permian,3494,3494,CT3,Natural Gas,True
Permian,3494,3494,CT4,Natural Gas,True
Permian,3494,3494,CT5,Natural Gas,True
Stryker,3504,3504,D1,Petroleum,False
Stryker,3504,3504,D2,Petroleum,False
Stryker,3504,3504,D3,Petroleum,False
Stryker,3504,3504,D4,Petroleum,False
Stryker,3504,3504,D5,Petroleum,False
Stryker,3504,3504,ST1,Natural Gas,True
Stryker,3504,3504,ST2,Natural Gas,True
Trinidad,3507,3507,6,Natural Gas,True
Trinidad,3507,3507,D1,Petroleum,False
Trinidad,3507,3507,D2,Petroleum,False
Decker,3548,3548,2,Natural Gas,True
Decker,3548,3548,GT1,Natural Gas,True
Decker,3548,3548,GT2,Natural Gas,True
Decker,3548,3548,GT3,Natural Gas,True
Decker,3548,3548,GT4,Natural Gas,True
Silas,3559,3559,10,Natural Gas,True
Silas,3559,3559,6,Natural Gas,True
Silas,3559,3559,9,Natural Gas,True
Silas,3559,3559,DG-3a,Petroleum,False
Silas,3559,3559,DG-3b,Petroleum,False
Silas,3559,3559,DG-4,Petroleum,False
Silas,3559,3559,DG-6a,Petroleum,False
Silas,3559,3559,DG-6b,Petroleum,False
Bryan,3561,3561,7,Natural Gas,False
Ray,3576,3576,1,Natural Gas,True
Ray,3576,3576,2,Natural Gas,True
Ray,3576,3576,3,Natural Gas,True
Ray,3576,3576,4,Natural Gas,True
Abbott,3581,3581,1,Hydro,False
Abbott,3581,3581,2,Hydro,False
Dunlap,3582,3582,1,Hydro,False
Dunlap,3582,3582,2,Hydro,False
H,3583,3583,1,Hydro,False
H,3584,3584,1,Hydro,False
Nolte,3585,3585,1,Hydro,False
Nolte,3585,3585,2,Hydro,False
TP,3586,3586,1,Hydro,False
Austin,3594,3594,1,Hydro,False
Austin,3594,3594,2,Hydro,False
Buchanan,3595,3595,1,Hydro,False
Buchanan,3595,3595,2,Hydro,False
Buchanan,3595,3595,3,Hydro,False
Granite,3597,3597,1,Hydro,False
Granite,3597,3597,2,Hydro,False
Inks,3598,3598,1,Hydro,False
Marble,3599,3599,1,Hydro,False
Marble,3599,3599,2,Hydro,False
Marshall,3600,3600,1,Hydro,False
Marshall,3600,3600,2,Hydro,False
Marshall,3600,3600,3,Hydro,False
Sim,3601,3601,1,Natural Gas,True
Sim,3601,3601,2,Natural Gas,True
Sim,3601,3601,3,Natural Gas,True
Ty,3602,3602,1,Natural Gas,True
Ty,3602,3602,2,Natural Gas,True
Ty,3602,3602,GT2,Natural Gas,False
Ty,3602,3602,GT3,Natural Gas,False
J,3604,3604,6A,Natural Gas,False
J,3604,3604,7,Natural Gas,True
J,3604,3604,8,Natural Gas,True
Leon,3609,3609,CGT1,Natural Gas,True
Leon,3609,3609,CGT2,Natural Gas,True
Leon,3609,3609,CGT3,Natural Gas,True
Leon,3609,3609,CGT4,Natural Gas,True
O,3611,3611,1,Natural Gas,True
O,3611,3611,2,Natural Gas,True
V,3612,3612,1,Natural Gas,True
V,3612,3612,2,Natural Gas,True
V,3612,3612,3,Natural Gas,True
V,3612,3612,5,Natural Gas,True
V,3612,3612,6,Natural Gas,True
V,3612,3612,7,Natural Gas,True
V,3612,3612,8,Natural Gas,True
R,3628,3628,1,Natural Gas,True
R,3628,3628,2,Natural Gas,True
R,3628,3628,3,Natural Gas,True
R,3628,3628,4,Natural Gas,True
R,3628,3628,5,Natural Gas,True
Pearsall,3630,3630,10A,Natural Gas,False
Pearsall,3630,3630,11A,Natural Gas,False
Pearsall,3630,3630,12A,Natural Gas,False
Pearsall,3630,3630,13A,Natural Gas,False
Pearsall,3630,3630,14A,Natural Gas,False
Pearsall,3630,3630,15A,Natural Gas,False
Pearsall,3630,3630,16A,Natural Gas,False
Pearsall,3630,3630,17A,Natural Gas,False
Pearsall,3630,3630,18A,Natural Gas,False
Pearsall,3630,3630,19A,Natural Gas,False
Pearsall,3630,3630,1A,Natural Gas,False
Pearsall,3630,3630,20A,Natural Gas,False
Pearsall,3630,3630,21A,Natural Gas,False
Pearsall,3630,3630,22A,Natural Gas,False
Pearsall,3630,3630,23A,Natural Gas,False
Pearsall,3630,3630,24A,Natural Gas,False
Pearsall,3630,3630,2A,Natural Gas,False
Pearsall,3630,3630,3A,Natural Gas,False
Pearsall,3630,3630,4A,Natural Gas,False
Pearsall,3630,3630,5A,Natural Gas,False
Pearsall,3630,3630,6A,Natural Gas,False
Pearsall,3630,3630,7A,Natural Gas,False
Pearsall,3630,3630,8A,Natural Gas,False
Pearsall,3630,3630,9A,Natural Gas,False
Sam,3631,3631,1,Natural Gas,False
Sam,3631,3631,10,Natural Gas,True
Sam,3631,3631,2,Natural Gas,False
Sam,3631,3631,4,Petroleum,False
Sam,3631,3631,5,Petroleum,False
Sam,3631,3631,7,Natural Gas,True
Sam,3631,3631,8,Natural Gas,True
Sam,3631,3631,9,Natural Gas,True
Powerlane,4195,4195,EP,Natural Gas,False
Powerlane,4195,4195,EP2,Natural Gas,False
Powerlane,4195,4195,EP3,Natural Gas,False
Powerlane,4195,4195,ST1,Natural Gas,False
Powerlane,4195,4195,ST2,Natural Gas,True
Powerlane,4195,4195,ST3,Natural Gas,True
Spencer,4266,4266,4,Natural Gas,True
Spencer,4266,4266,5,Natural Gas,True
Thomas,4937,4937,CT-1,Natural Gas,True
Thomas,4937,4937,CT-2,Natural Gas,True
Thomas,4937,4937,STG,Natural Gas,True
Barney,4939,4939,1,Natural Gas,True
Barney,4939,4939,2,Natural Gas,True
Barney,4939,4939,3,Natural Gas,True
Barney,4939,4939,4,Natural Gas,True
Amistad,6128,6128,1,Hydro,False
Amistad,6128,6128,2,Hydro,False
Welsh,6139,6139,1,Coal,True
Welsh,6139,6139,3,Coal,True
Comanche,6145,6145,1,Nuclear,False
Comanche,6145,6145,2,Nuclear,False
Martin,6146,6146,1,Coal,True
Martin,6146,6146,2,Coal,True
Martin,6146,6146,3,Coal,True
Coleto,6178,6178,1,Coal,True
Fayette,6179,6179,1,Coal,True
Fayette,6179,6179,2,Coal,True
Fayette,6179,6179,3,Coal,True
Oak,6180,6180,OG1,Coal,True
Oak,6180,6180,OG2,Coal,True
J,6181,6181,1,Coal,True
J,6181,6181,2,Coal,True
San,6183,6183,1,Coal,True
Harrington,6193,6193,1,Coal,True
Harrington,6193,6193,2,Coal,True
Harrington,6193,6193,3,Coal,True
Tolk,6194,6194,1,Coal,True
Tolk,6194,6194,2,Coal,True
Dansby,6243,6243,1,Natural Gas,True
Dansby,6243,6243,2,Natural Gas,True
Dansby,6243,6243,3,Natural Gas,True
South,6251,6251,1,Nuclear,False
South,6251,6251,2,Nuclear,False
Falcon,6410,6410,1,Hydro,False
Falcon,6410,6410,2,Hydro,False
Falcon,6410,6410,3,Hydro,False
Sam,6413,6413,1,Hydro,False
Sam,6413,6413,2,Hydro,False
Whitney,6414,6414,1,Hydro,False
Whitney,6414,6414,2,Hydro,False
Denison,6416,6416,1,Hydro,False
Denison,6416,6416,2,Hydro,False
Toledo,6595,6595,1,Hydro,False
Toledo,6595,6595,2,Hydro,False
Major,7030,7030,1,Coal,True
Major,7030,7030,2,Coal,True
J,7097,7097,1,Coal,True
J,7097,7097,2,Coal,True
Brandon,7131,7131,1,Natural Gas,False
Robert,7200,7200,1,Hydro,False
Robert,7200,7200,2,Hydro,False
San,7325,7325,1,Natural Gas,True
San,7325,7325,2,Natural Gas,True
Gonzales,7394,7394,1,Hydro,False
Gonzales,7394,7394,2,Hydro,False
Gonzales,7394,7394,3,Hydro,False
Arthur,7512,7512,1,Natural Gas,True
Arthur,7512,7512,2,Natural Gas,True
Arthur,7512,7512,3,Natural Gas,True
Sand,7900,7900,5A,Natural Gas,True
Sand,7900,7900,5C,Natural Gas,True
Sand,7900,7900,SH1,Natural Gas,True
Sand,7900,7900,SH2,Natural Gas,True
Sand,7900,7900,SH3,Natural Gas,True
Sand,7900,7900,SH4,Natural Gas,True
Sand,7900,7900,SH6,Natural Gas,True
Sand,7900,7900,SH7,Natural Gas,True
Pirkey,7902,7902,1,Coal,True
DeCordova,8063,8063,CT1,Natural Gas,True
DeCordova,8063,8063,CT2,Natural Gas,True
DeCordova,8063,8063,CT3,Natural Gas,True
DeCordova,8063,8063,CT4,Natural Gas,True
Engineered,10072,10072,GEN1,Natural Gas,False
Power,10154,10154,GEN1,Natural Gas,False
Power,10154,10154,GEN2,Natural Gas,False
Power,10154,10154,GEN3,Natural Gas,False
Seadrift,10167,10167,GEN1,Petroleum,False
Central,10184,10184,EG1,Natural Gas,False
Central,10184,10184,EG2,Natural Gas,False
Central,10184,10184,TG1,Natural Gas,False
Engineered,10187,10187,GEN1,Natural Gas,False
Ticona,10243,10243,GEN5,Natural Gas,False
Enterprise,10261,10261,GEN3,Natural Gas,False
Enterprise,10261,10261,GEN4,Natural Gas,False
Enterprise,10261,10261,GEN5,Natural Gas,False
Enterprise,10261,10261,GEN6,Natural Gas,False
Enterprise,10261,10261,GEN7,Natural Gas,False
Enterprise,10261,10261,GEN8,Natural Gas,False
Bayou,10298,10298,GT1,Natural Gas,False
Bayou,10298,10298,GT2,Natural Gas,False
Bayou,10298,10298,GT3,Natural Gas,False
Bayou,10298,10298,GT4,Natural Gas,False
Ascend,10418,10418,GEN1,Natural Gas,False
Ascend,10418,10418,GEN4,Natural Gas,False
International,10425,10425,TG,Renewable,False
ExxonMobil,10436,10436,GT38,Natural Gas,False
ExxonMobil,10436,10436,GT41,Natural Gas,False
ExxonMobil,10436,10436,GT42,Natural Gas,False
ExxonMobil,10436,10436,GT43,Natural Gas,False
ExxonMobil,10436,10436,GT44,Natural Gas,False
ExxonMobil,10436,10436,GT45,Natural Gas,False
ExxonMobil,10436,10436,ST34,Other,False
Formosa,10554,10554,BO3,Natural Gas,False
Formosa,10554,10554,ST1,Natural Gas,False
Formosa,10554,10554,ST2,Natural Gas,False
Formosa,10554,10554,ST3,Natural Gas,False
Formosa,10554,10554,TBG1,Natural Gas,False
Formosa,10554,10554,TBG2,Natural Gas,False
Formosa,10554,10554,TBG3,Natural Gas,False
Formosa,10554,10554,TBG4,Natural Gas,False
Formosa,10554,10554,TBG5,Natural Gas,False
Formosa,10554,10554,TBG6,Natural Gas,False
Port,10568,10568,GEN1,Natural Gas,False
ExxonMobil,10692,10692,GEN1,Natural Gas,False
ExxonMobil,10692,10692,GEN2,Natural Gas,False
ExxonMobil,10692,10692,GEN3,Natural Gas,False
ExxonMobil,10692,10692,GEN4,Natural Gas,False
ExxonMobil,10692,10692,GEN5,Natural Gas,False
Sabine,10789,10789,GEN1,Natural Gas,False
Sabine,10789,10789,GEN3,Natural Gas,False
Sabine,10789,10789,GT1A,Natural Gas,True
Sabine,10789,10789,GT1B,Natural Gas,True
Sabine,10789,10789,ST1A,Natural Gas,True
Victoria,10790,10790,GEN1,Natural Gas,False
Corpus,50026,50026,FR6,Natural Gas,False
Houston,50043,50043,GT1,Natural Gas,False
Houston,50043,50043,GT2,Natural Gas,False
Houston,50043,50043,GT3,Natural Gas,False
Houston,50043,50043,ST,Natural Gas,False
Rice,50054,50054,GEN1,Natural Gas,False
Rice,50054,50054,GEN2,Natural Gas,False
Borger,50067,50067,GEN1,Natural Gas,False
WestRock,50101,50101,GEN1,Renewable,False
WestRock,50101,50101,GEN2,Renewable,False
WestRock,50101,50101,GEN3,Renewable,False
Paris,50109,50109,GEN1,Natural Gas,True
Paris,50109,50109,GEN2,Natural Gas,True
Paris,50109,50109,GEN3,Natural Gas,True
Hal,50118,50118,GEN10,Natural Gas,False
Hal,50118,50118,GEN4,Natural Gas,False
Hal,50118,50118,GEN5,Natural Gas,False
Hal,50118,50118,GEN7,Natural Gas,False
Hal,50118,50118,GEN8,Natural Gas,False
Hal,50118,50118,GEN9,Natural Gas,False
Valero,50121,50121,PRU,Other,False
Valero,50121,50121,TG1,Petroleum,False
Valero,50121,50121,TG2,Petroleum,False
Signal,50127,50127,GTA,Natural Gas,False
Signal,50127,50127,GTB,Natural Gas,False
Signal,50127,50127,GTC,Natural Gas,False
Signal,50127,50127,STD,Natural Gas,False
Snider,50141,50141,WGN1,Renewable,False
Union,50150,50150,GE10,Natural Gas,False
Union,50150,50150,GE11,Natural Gas,False
Union,50150,50150,GEN5,Natural Gas,False
Union,50150,50150,GEN6,Natural Gas,False
Union,50150,50150,GEN7,Natural Gas,False
Union,50150,50150,GEN8,Natural Gas,False
Union,50150,50150,GEN9,Natural Gas,False
Union,50150,50150,IGT,Natural Gas,False
Texas,50153,50153,STG,Other,False
Texas,50229,50229,TG2,Natural Gas,False
Tenet,50241,50241,9541,Petroleum,False
Tenet,50241,50241,9542,Natural Gas,False
Shell,50304,50304,GEN1,Other,False
Shell,50304,50304,GEN2,Other,False
Shell,50304,50304,GEN4,Natural Gas,False
Shell,50304,50304,GEN5,Natural Gas,False
BP,50404,50404,TG2,Other,False
BP,50404,50404,TG3,Other,False
Corpus,50475,50475,GEN1,Natural Gas,False
DFW,50569,50569,GEN1,Renewable,False
DFW,50569,50569,GEN2,Renewable,False
DFW,50569,50569,GEN3,Renewable,False
DFW,50569,50569,GEN4,Renewable,False
DFW,50569,50569,GEN5,Renewable,False
DFW,50569,50569,GEN6,Renewable,False
ExxonMobil,50625,50625,ETG,Natural Gas,False
ExxonMobil,50625,50625,TG22,Natural Gas,False
ExxonMobil,50625,50625,TG23,Natural Gas,False
ExxonMobil,50625,50625,TG24,Natural Gas,False
ExxonMobil,50625,50625,TG32,Natural Gas,False
ExxonMobil,50625,50625,TG33,Natural Gas,False
ExxonMobil,50625,50625,TG34,Natural Gas,False
ExxonMobil,50625,50625,TG41,Natural Gas,True
ExxonMobil,50625,50625,TG42,Natural Gas,True
ExxonMobil,50625,50625,TG43,Natural Gas,True
Optim,50815,50815,GEN1,Natural Gas,True
Optim,50815,50815,GEN2,Natural Gas,True
Optim,50815,50815,GEN3,Natural Gas,True
Optim,50815,50815,GEN4,Natural Gas,True
Optim,50815,50815,GEN5,Natural Gas,True
Optim,50815,50815,GEN6,Natural Gas,True
Optim,50815,50815,GEN7,Natural Gas,True
Motiva,50973,50973,GN31,Natural Gas,False
Motiva,50973,50973,GN32,Natural Gas,False
Motiva,50973,50973,GN33,Natural Gas,False
Motiva,50973,50973,GN34,Natural Gas,False
Motiva,50973,50973,GN35,Natural Gas,False
Motiva,50973,50973,GN41,Natural Gas,False
Motiva,50973,50973,GN42,Natural Gas,False
Motiva,50973,50973,GN43,Natural Gas,False
Motiva,50973,50973,GN44,Natural Gas,False
Houston,52065,52065,GEN1,Other,False
Houston,52065,52065,GEN2,Other,False
Texas,52088,52088,GEN1,Natural Gas,True
Texas,52088,52088,GEN2,Natural Gas,True
Texas,52088,52088,GEN3,Natural Gas,True
Texas,52088,52088,GEN4,Natural Gas,True
Freeport,52120,52120,G-37,Natural Gas,False
Freeport,52120,52120,G-61,Natural Gas,False
Freeport,52120,52120,G-63,Natural Gas,False
Freeport,52120,52120,G-64,Natural Gas,False
Freeport,52120,52120,G-65,Natural Gas,False
Freeport,52120,52120,G-66,Natural Gas,False
Freeport,52120,52120,G-67,Natural Gas,False
Wasson,52122,52122,GEN1,Natural Gas,False
Power,52132,52132,GEN1,Natural Gas,False
Power,52132,52132,GEN2,Natural Gas,False
Power,52132,52132,GEN3,Natural Gas,False
C,52176,52176,GEN1,Natural Gas,True
C,52176,52176,GEN2,Natural Gas,True
C,52176,52176,GEN3,Natural Gas,True
International,54097,54097,GEN1,Renewable,False
International,54097,54097,GEN2,Renewable,False
Goodyear,54321,54321,2N80,Natural Gas,False
Goodyear,54321,54321,3N80,Natural Gas,False
Goodyear,54321,54321,N802,Natural Gas,False
Goodyear,54321,54321,N803,Natural Gas,False
Goodyear,54321,54321,N804,Natural Gas,False
Westhollow,54330,54330,1,Natural Gas,False
Rio,54338,54338,GENA,Renewable,False
Rio,54338,54338,GENB,Renewable,False
Rio,54338,54338,GENC,Renewable,False
Rio,54338,54338,GEND,Renewable,False
Rio,54338,54338,GENE,Petroleum,False
Works,54364,54364,L1G,Petroleum,False
Works,54364,54364,L1PG,Petroleum,False
Works,54364,54364,L2G,Petroleum,False
Village,54520,54520,SD1,Natural Gas,False
Village,54520,54520,SD2,Natural Gas,False
Village,54520,54520,TG1,Natural Gas,False
Village,54520,54520,TG2,Natural Gas,False
Phelps,54628,54628,2607,Natural Gas,False
Phelps,54628,54628,2608,Natural Gas,False
Phelps,54628,54628,3001,Natural Gas,False
Phelps,54628,54628,3002,Natural Gas,False
Phelps,54628,54628,3003,Natural Gas,False
JCO,54637,54637,GCG1,Natural Gas,False
JCO,54637,54637,GCG2,Natural Gas,False
Oyster,54676,54676,G81,Natural Gas,False
Oyster,54676,54676,G82,Natural Gas,False
Oyster,54676,54676,G83,Natural Gas,False
Oyster,54676,54676,G84,Natural Gas,False
Port,54748,54748,G1,Natural Gas,False
Johnson,54817,54817,GT-1,Natural Gas,True
Johnson,54817,54817,ST-1,Natural Gas,True
Big,54979,54979,WIND,Wind,False
Sweeny,55015,55015,GEN1,Natural Gas,True
Sweeny,55015,55015,GEN2,Natural Gas,True
Sweeny,55015,55015,GEN3,Natural Gas,True
Sweeny,55015,55015,GEN4,Natural Gas,True
Pasadena,55047,55047,CTG1,Natural Gas,True
Pasadena,55047,55047,CTG2,Natural Gas,True
Pasadena,55047,55047,CTG3,Natural Gas,True
Pasadena,55047,55047,STG1,Natural Gas,True
Pasadena,55047,55047,STG2,Natural Gas,True
Jameson,55052,55052,620,Natural Gas,False
Jameson,55052,55052,621,Natural Gas,False
Jameson,55052,55052,622,Natural Gas,False
Jameson,55052,55052,GN410,Natural Gas,False
Bridgeport,55053,55053,14,Natural Gas,False
Bridgeport,55053,55053,15,Natural Gas,False
Bridgeport,55053,55053,16,Natural Gas,False
Bridgeport,55053,55053,17,Natural Gas,False
Bridgeport,55053,55053,2723,Natural Gas,False
Bridgeport,55053,55053,654,Natural Gas,False
Bridgeport,55053,55053,655,Natural Gas,False
Bridgeport,55053,55053,656,Natural Gas,False
Bridgeport,55053,55053,657,Natural Gas,False
Bridgeport,55053,55053,658,Natural Gas,False
Bridgeport,55053,55053,666,Natural Gas,False
Bridgeport,55053,55053,667,Natural Gas,False
Bridgeport,55053,55053,671,Natural Gas,False
Tenaska,55062,55062,GTG1,Natural Gas,True
Tenaska,55062,55062,GTG2,Natural Gas,True
Tenaska,55062,55062,GTG3,Natural Gas,True
Tenaska,55062,55062,STG1,Natural Gas,True
Black,55064,55064,UNT1,Natural Gas,True
Black,55064,55064,UNT2B,Natural Gas,True
Mustang,55065,55065,GEN1,Natural Gas,True
Mustang,55065,55065,GEN2,Natural Gas,True
Mustang,55065,55065,GEN3,Natural Gas,True
Gregory,55086,55086,GT1A,Natural Gas,True
Gregory,55086,55086,GT1B,Natural Gas,True
Gregory,55086,55086,STG,Natural Gas,True
Midlothian,55091,55091,STK1,Natural Gas,True
Midlothian,55091,55091,STK2,Natural Gas,True
Midlothian,55091,55091,STK3,Natural Gas,True
Midlothian,55091,55091,STK4,Natural Gas,True
Midlothian,55091,55091,STK5,Natural Gas,True
Midlothian,55091,55091,STK6,Natural Gas,True
Lamar,55097,55097,CTG1,Natural Gas,True
Lamar,55097,55097,CTG2,Natural Gas,True
Lamar,55097,55097,CTG3,Natural Gas,True
Lamar,55097,55097,CTG4,Natural Gas,True
Lamar,55097,55097,STG1,Natural Gas,True
Lamar,55097,55097,STG2,Natural Gas,True
NAFTA,55122,55122,UN1,Natural Gas,False
NAFTA,55122,55122,UN2,Natural Gas,False
Magic,55123,55123,CTG1,Natural Gas,True
Magic,55123,55123,CTG2,Natural Gas,True
Magic,55123,55123,STG,Natural Gas,True
Tenaska,55132,55132,GTG1,Natural Gas,True
Tenaska,55132,55132,GTG2,Natural Gas,True
Tenaska,55132,55132,GTG3,Natural Gas,True
Tenaska,55132,55132,STG1,Natural Gas,True
Rio,55137,55137,CTG1,Natural Gas,True
Rio,55137,55137,CTG2,Natural Gas,True
Rio,55137,55137,CTG3,Natural Gas,True
Rio,55137,55137,STG1,Natural Gas,True
Wolf,55139,55139,CTG1,Natural Gas,True
Wolf,55139,55139,CTG2,Natural Gas,True
Wolf,55139,55139,ST,Natural Gas,True
Hays,55144,55144,U1,Natural Gas,True
Hays,55144,55144,U2,Natural Gas,True
Hays,55144,55144,U3,Natural Gas,True
Hays,55144,55144,U4,Natural Gas,True
Guadalupe,55153,55153,CTG1,Natural Gas,True
Guadalupe,55153,55153,CTG2,Natural Gas,True
Guadalupe,55153,55153,CTG3,Natural Gas,True
Guadalupe,55153,55153,CTG4,Natural Gas,True
Guadalupe,55153,55153,STG1,Natural Gas,True
Guadalupe,55153,55153,STG2,Natural Gas,True
Lost,55154,55154,CTA,Natural Gas,True
Lost,55154,55154,CTB,Natural Gas,True
Lost,55154,55154,ST,Natural Gas,True
Bastrop,55168,55168,0001,Natural Gas,True
Bastrop,55168,55168,0002,Natural Gas,True
Bastrop,55168,55168,0003,Natural Gas,True
Bosque,55172,55172,GT-1,Natural Gas,True
Bosque,55172,55172,GT-2,Natural Gas,True
Bosque,55172,55172,GT-3,Natural Gas,True
Bosque,55172,55172,ST-4,Natural Gas,True
Bosque,55172,55172,ST-5,Natural Gas,True
Eastman,55176,55176,GEN1,Natural Gas,True
Eastman,55176,55176,GEN2,Natural Gas,True
Eastman,55176,55176,GEN3,Natural Gas,True
Channelview,55187,55187,GT1,Natural Gas,True
Channelview,55187,55187,GT2,Natural Gas,True
Channelview,55187,55187,GT3,Natural Gas,True
Channelview,55187,55187,GT4,Natural Gas,True
Channelview,55187,55187,ST1,Natural Gas,True
Corpus,55206,55206,CT1,Natural Gas,True
Corpus,55206,55206,CT2,Natural Gas,True
Corpus,55206,55206,ST1,Natural Gas,True
Odessa-Ector,55215,55215,CTG1,Natural Gas,True
Odessa-Ector,55215,55215,CTG2,Natural Gas,True
Odessa-Ector,55215,55215,CTG3,Natural Gas,True
Odessa-Ector,55215,55215,CTG4,Natural Gas,True
Odessa-Ector,55215,55215,STG1,Natural Gas,True
Odessa-Ector,55215,55215,STG2,Natural Gas,True
Ennis,55223,55223,GT1,Natural Gas,True
Ennis,55223,55223,ST1,Natural Gas,True
Freestone,55226,55226,GT1,Natural Gas,True
Freestone,55226,55226,GT2,Natural Gas,True
Freestone,55226,55226,GT3,Natural Gas,True
Freestone,55226,55226,GT4,Natural Gas,True
Freestone,55226,55226,ST3,Natural Gas,True
Freestone,55226,55226,ST6,Natural Gas,True
Jack,55230,55230,CT1,Natural Gas,True
Jack,55230,55230,CT2,Natural Gas,True
Jack,55230,55230,CT3,Natural Gas,True
Jack,55230,55230,CT4,Natural Gas,True
Jack,55230,55230,ST1,Natural Gas,True
Jack,55230,55230,ST2,Natural Gas,True
Channel,55299,55299,CTG1,Natural Gas,True
Channel,55299,55299,CTG2,Natural Gas,True
Channel,55299,55299,CTG3,Natural Gas,True
Channel,55299,55299,ST-1,Natural Gas,True
Air,55309,55309,GEN 5,Natural Gas,False
Air,55309,55309,GEN1,Natural Gas,False
Air,55309,55309,GEN3,Natural Gas,False
Air,55309,55309,GEN4,Natural Gas,False
BASF,55311,55311,GEN1,Natural Gas,False
BASF,55311,55311,GEN2,Other,False
Ingleside,55313,55313,CTG1,Natural Gas,False
Ingleside,55313,55313,CTG2,Natural Gas,False
Ingleside,55313,55313,STG,Natural Gas,False
Wise,55320,55320,GT1,Natural Gas,True
Wise,55320,55320,GT2,Natural Gas,True
Wise,55320,55320,ST1,Natural Gas,True
Baytown,55327,55327,CTG1,Natural Gas,True
Baytown,55327,55327,CTG2,Natural Gas,True
Baytown,55327,55327,CTG3,Natural Gas,True
