date,plant_id,eia,epa,valid
2010Q2,50815,743506.0,766926.89,True
2010Q2,52071,581840.0,648485.26,True
2010Q2,52088,347684.0,369254.33999999997,True
2010Q2,52176,33709.0,35017.22,True
2010Q2,54817,221605.0,229641.15999999997,True
2010Q2,55015,765928.0,821401.13,True
2010Q2,55047,782067.0,909784.34,True
2010Q2,55062,267020.0,279034.36,True
2010Q2,55064,367448.0,471779.45999999996,True
2010Q2,55065,554513.0,565463.1199999999,True
2010Q2,55086,660638.0,999542.47,True
2010Q2,55091,986201.0,1017138.5200000001,True
2010Q2,55097,979372.0,843475.4299999999,True
2010Q2,55104,145748.587,120155.57999999999,True
2010Q2,10789,0.0,607230.72,True
2010Q2,55123,815317.0,872322.87,True
2010Q2,55132,1073609.0,1106143.75,True
2010Q2,55137,579094.0,630849.84,True
2010Q2,55139,589229.0,577925.42,True
2010Q2,55144,969869.0,996201.4299999999,True
2010Q2,55153,1242720.0,778123.25,True
2010Q2,55154,-1.0,-1.0,False
2010Q2,55168,529036.0,526979.0499999999,True
2010Q2,55172,200485.0,130603.60000000002,True
2010Q2,55176,558843.45,569089.23,True
2010Q2,55187,1401261.0,2068868.06,True
2010Q2,55206,641255.0,802171.94,True
2010Q2,55215,761938.0,485103.53,True
2010Q2,55223,346225.98,230047.4,True
2010Q2,55226,1455670.0,1494185.48,True
2010Q2,55230,828251.0,864588.1,True
2010Q2,55299,521780.0,738434.38,True
2010Q2,55320,1175338.0,1021310.0700000001,True
2010Q2,55327,1084875.0,1060915.61,True
2010Q2,55357,667833.0,685325.66,True
2010Q2,55358,903199.0,928779.5,True
2010Q2,55365,12308.0,12508.2,True
2010Q2,55464,1414975.0,2159631.67,True
2010Q2,55470,884350.94,0.0,True
2010Q2,55480,1565379.0,1082879.4,True
2010Q2,55664,288152.0,304319.0900000001,True
2010Q2,56326,5277.0,6101.05,True
2010Q2,56349,168618.0,172744.7,True
2010Q2,56350,468477.0,488167.25,True
2010Q2,56603,42528.223,85454.57,True
2010Q2,56604,14582.734,10141.86,True
2010Q2,56611,-1.0,-1.0,False
2010Q2,56674,75975.0,79267.62,True
2010Q2,56806,506781.0,340872.80999999994,True
2010Q2,57865,-1.0,-1.0,False
2010Q2,58001,-1.0,-1.0,False
2010Q2,58005,-1.0,-1.0,False
2010Q2,58378,-1.0,-1.0,False
2010Q2,58471,-1.0,-1.0,False
2010Q2,58562,-1.0,-1.0,False
2010Q2,59812,-1.0,-1.0,False
2010Q2,60122,-1.0,-1.0,False
2010Q2,60264,-1.0,-1.0,False
2010Q2,60459,-1.0,-1.0,False
2010Q2,60460,-1.0,-1.0,False
2010Q2,60468,-1.0,-1.0,False
2010Q3,9,4769.16,7571.21,True
2010Q3,127,1162037.0,1242045.6500000001,True
2010Q3,298,3518815.0,3732520.52,True
2010Q3,3439,45269.0,42270.479999999996,True
2010Q3,3441,575688.0,604008.2999999999,True
2010Q3,3443,448623.0,460464.11,True
2010Q3,3452,212946.0,220395.13,True
2010Q3,3453,417135.0,432578.86,True
2010Q3,3456,677452.0,593296.12,True
2010Q3,3457,598789.0,593779.76,True
2010Q3,3459,1561203.0,1645562.1099999999,True
2010Q3,3460,676052.0,713892.8,True
2010Q3,3464,79924.0,85311.51999999999,True
2010Q3,3468,129076.0,135366.93000000002,True
2010Q3,3469,415827.0,241601.07000000004,True
2010Q3,3470,4908486.0,5245535.5,True
2010Q3,3476,150368.0,164103.69,True
2010Q3,3477,2595.0,2237.0,True
2010Q3,3478,525586.0,556032.48,True
2010Q3,3482,542729.0,515988.05000000005,True
2010Q3,3483,29808.0,31002.1,True
2010Q3,3484,315297.0,338194.27,True
2010Q3,3485,354038.0,382406.82,True
2010Q3,3489,-1.0,-1.0,False
2010Q3,3490,193975.0,203618.38,True
2010Q3,3491,260251.0,276394.92,True
2010Q3,3492,12232.0,13450.98,True
2010Q3,3494,101816.0,117903.05000000002,True
2010Q3,3497,2477603.0,2634401.21,True
2010Q3,3502,0.0,0.0,True
2010Q3,3504,202461.0,212642.5,True
2010Q3,3507,20919.0,21459.809999999998,True
2010Q3,3548,566831.0,587880.8,True
2010Q3,3559,40143.783,38074.93,True
2010Q3,3561,246.0,0.0,True
2010Q3,3574,0.0,0.0,True
2010Q3,3576,91435.0,100211.25,True
2010Q3,3601,281708.0,301299.79,True
2010Q3,3602,78320.311,75178.25,True
2010Q3,3604,91836.385,85564.04000000001,True
2010Q3,3609,20389.0,23447.0,True
2010Q3,3611,344197.0,363879.25,True
2010Q3,3612,314883.0,703751.25,True
2010Q3,7512,222530.0,703751.25,True
2010Q3,3613,-1.0,-1.0,False
2010Q3,3628,244688.0,263416.12,True
2010Q3,3631,96614.0,79976.73999999999,True
2010Q3,4195,25293.573,18930.25,True
2010Q3,4266,7827.0,9180.5,True
2010Q3,4937,193561.0,206994.85,True
2010Q3,4939,671486.0,703404.24,True
2010Q3,6136,1024778.0,1080568.0,True
2010Q3,6139,3025844.0,3176325.65,True
2010Q3,6146,4806481.0,5195591.05,True
2010Q3,6147,3593985.0,3841186.8499999996,True
2010Q3,6178,1364357.0,1429726.0,True
2010Q3,6179,3287463.0,3461632.6100000003,True
2010Q3,6180,1538539.0,2881657.67,True
2010Q3,6181,1622690.0,1700222.25,True
2010Q3,6183,840903.0,936669.75,True
2010Q3,6193,1768707.0,1882903.92,True
2010Q3,6194,2050503.0,2160612.16,True
2010Q3,6243,75293.986,86382.43000000001,True
2010Q3,6648,875947.0,960117.03,True
2010Q3,7030,663945.0,748000.29,True
2010Q3,7097,2334388.0,2440682.25,True
2010Q3,7325,245045.894,201356.15999999997,True
2010Q3,55545,498808.0,508306.01,True
2010Q3,7900,579063.0,588099.28,True
2010Q3,7902,1244080.0,1338347.98,True
2010Q3,8063,12206.0,12047.29,True
2010Q3,10298,436625.0,677280.0,True
2010Q3,50109,112923.0,115729.04999999999,True
2010Q3,50137,2279.818,4230.3,True
2010Q3,50615,-1.0,-1.0,False
2010Q3,50625,636589.0,1333367.86,True
2010Q3,50815,782738.0,806018.03,True
2010Q3,52071,997153.0,1112788.73,True
2010Q3,52088,370102.0,423782.61,True
2010Q3,52176,127758.0,132704.38,True
2010Q3,54817,467808.0,485678.9,True
2010Q3,55015,738202.0,806820.77,True
2010Q3,55047,930508.0,1080402.8199999998,True
2010Q3,55062,1273774.0,1301327.77,True
2010Q3,55064,391669.0,487685.4,True
2010Q3,55065,831102.0,846822.6,True
2010Q3,55086,721107.0,1073421.1400000001,True
2010Q3,55091,1716952.0,1766969.3,True
2010Q3,55097,981121.0,849450.9299999999,True
2010Q3,55104,162511.511,134766.15000000002,True
2010Q3,10789,0.0,445088.16000000003,True
2010Q3,55123,1026561.0,1114980.3399999999,True
2010Q3,55132,1319716.0,1365146.9,True
2010Q3,55137,926190.0,1005780.9,True
2010Q3,55139,974784.0,669164.48,True
2010Q3,55144,1420953.0,1458571.12,True
2010Q3,55153,1294650.0,813080.25,True
2010Q3,55154,857004.0,550957.4,True
2010Q3,55168,427981.0,431761.15,True
2010Q3,55172,328237.0,210087.68999999997,True
2010Q3,55176,585871.27,609484.19,True
2010Q3,55187,1551876.0,2252922.6,True
2010Q3,55206,701306.0,857124.18,True
2010Q3,55215,1046064.0,651026.11,True
2010Q3,55223,554346.27,356466.14999999997,True
2010Q3,55226,1525970.0,1566072.32,True
2010Q3,55230,1035351.0,1078270.2999999998,True
2010Q3,55299,825939.0,987332.3299999998,True
2010Q3,55320,1510735.0,1066854.89,True
2010Q3,55327,1122768.0,1097968.26,True
2010Q3,55357,775411.0,794376.2200000001,True
2010Q3,55358,847965.0,873165.0,True
2010Q3,55365,13419.0,13532.789999999999,True
2010Q3,55464,1740487.0,2543656.0,True
2010Q3,55470,1149561.0,0.0,True
2010Q3,55480,1993615.0,1400405.1099999999,True
2010Q3,55664,341170.0,386523.93999999994,True
2010Q3,56326,68549.0,70072.97,True
2010Q3,56349,350918.0,355714.71,True
2010Q3,56350,491432.0,508674.73,True
2010Q3,56603,53898.536,47205.93,True
2010Q3,56604,18481.563,31100.48,True
2010Q3,56611,-1.0,-1.0,False
2010Q3,56674,63842.0,67795.85,True
2010Q3,56806,686599.0,456620.31,True
2010Q3,57865,-1.0,-1.0,False
2010Q3,58001,-1.0,-1.0,False
2010Q3,58005,-1.0,-1.0,False
2010Q3,58378,-1.0,-1.0,False
2010Q3,58471,-1.0,-1.0,False
2010Q3,58562,-1.0,-1.0,False
2010Q3,59812,-1.0,-1.0,False
2010Q3,60122,-1.0,-1.0,False
2010Q3,60264,-1.0,-1.0,False
2010Q3,60459,-1.0,-1.0,False
2010Q3,60460,-1.0,-1.0,False
2010Q3,60468,-1.0,-1.0,False
2010Q4,9,2854.137,346.90999999999997,True
2010Q4,127,909869.0,974613.78,True
2010Q4,298,3089818.0,3278756.6399999997,True
2010Q4,3439,12286.0,11760.060000000001,True
2010Q4,3441,776852.0,807816.35,True
2010Q4,3443,12848.0,13134.52,True
2010Q4,3452,32095.0,33477.11,True
2010Q4,3453,97.0,112.75,True
2010Q4,3456,452526.0,389774.94,True
2010Q4,3457,347137.0,346518.22,True
2010Q4,3459,1083281.0,1147492.86,True
2010Q4,3460,2790.0,5542.0,True
2010Q4,3464,14842.0,16500.04,True
2010Q4,3468,901.0,3701.45,True
2010Q4,3469,77304.0,57655.29,True
2010Q4,3470,3754572.0,4021684.45,True
2010Q4,3476,112913.0,118226.67000000001,True
2010Q4,3477,1330.0,1156.6,True
2010Q4,3478,275380.0,293642.18,True
2010Q4,3482,413344.0,424661.29,True
2010Q4,3483,-217.0,0.0,True
2010Q4,3484,128361.0,142432.84,True
2010Q4,3485,158113.0,174799.81,True
2010Q4,3489,-1.0,-1.0,False
2010Q4,3490,21258.0,23227.29,True
2010Q4,3491,864.0,915.1,True
2010Q4,3492,3453.0,2059.34,True
2010Q4,3494,127477.0,131351.57,True
2010Q4,3497,2171809.0,2307003.1399999997,True
2010Q4,3502,0.0,0.0,True
